- M = 1.20 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68000.98   9.002095   0.00571992  -0.202119
   0.000100   66763.19   9.003914   0.00570795  -0.235850
   0.000185   65258.70   9.005268   0.00569906  -0.276798
   0.000281   63540.36   9.006505   0.00569095  -0.324391
   0.000391   61789.54   9.007677   0.00568327  -0.374102
   0.000522   60080.20   9.008800   0.00567593  -0.423959
   0.000680   58501.18   9.009851   0.00566907  -0.471277
   0.000877   57060.62   9.010843   0.00566260  -0.515581
   0.001129   55763.66   9.011789   0.00565643  -0.556468
   0.001459   54609.89   9.012703   0.00565049  -0.593702
   0.001901   53589.79   9.013594   0.00564469  -0.627350
   0.002499   52681.73   9.014467   0.00563902  -0.657912
   0.003300   51852.31   9.015331   0.00563341  -0.686343
   0.004353   51062.87   9.016200   0.00562778  -0.713864
   0.005696   50279.92   9.017087   0.00562204  -0.741593
   0.007355   49482.06   9.017984   0.00561623  -0.770278
   0.009315   48674.52   9.018863   0.00561055  -0.799741
   0.011574   47859.19   9.019705   0.00560512  -0.829928
   0.014141   47037.04   9.020500   0.00559999  -0.860825
   0.017035   46211.21   9.021270   0.00559503  -0.892365
   0.020266   45385.41   9.022016   0.00559022  -0.924436
   0.023840   44563.39   9.022739   0.00558557  -0.956910
   0.027761   43748.02   9.023437   0.00558108  -0.989688
   0.032026   42941.98   9.024102   0.00557681  -1.022659
   0.036649   42144.88   9.024737   0.00557274  -1.055842
   0.041621   41360.39   9.025346   0.00556883  -1.089092
   0.046944   40589.38   9.025937   0.00556504  -1.122372
   0.052621   39832.35   9.026513   0.00556135  -1.155654
   0.058698   39084.95   9.027083   0.00555771  -1.189130
   0.065120   38354.99   9.027644   0.00555412  -1.222441
   0.071925   37638.76   9.028192   0.00555062  -1.255735
   0.079112   36936.92   9.028722   0.00554723  -1.288964
   0.086713   36247.06   9.029234   0.00554396  -1.322227
   0.094656   35575.54   9.029718   0.00554087  -1.355197
   0.102979   34919.31   9.030176   0.00553796  -1.387998
   0.111732   34275.30   9.030608   0.00553520  -1.420767
   0.120917   33644.55   9.031021   0.00553257  -1.453446
   0.130597   33024.24   9.031422   0.00553002  -1.486175
   0.140851   32411.44   9.031819   0.00552749  -1.519110
   0.151494   31818.24   9.032213   0.00552498  -1.551593
   0.162587   31241.00   9.032602   0.00552251  -1.583786
   0.174283   30672.87   9.032985   0.00552007  -1.616052
   0.186504   30118.00   9.033359   0.00551769  -1.648139
   0.199387   29572.01   9.033728   0.00551535  -1.680289
   0.212771   29042.35   9.034085   0.00551309  -1.712042
   0.226920   28518.57   9.034436   0.00551085  -1.744010
   0.241775   28005.58   9.034783   0.00550866  -1.775889
   0.257177   27507.58   9.035109   0.00550659  -1.807384
   0.273317   27019.34   9.035420   0.00550462  -1.838806
   0.290107   26543.71   9.035716   0.00550274  -1.869954
   0.307691   26077.76   9.036002   0.00550093  -1.901005
   0.326453   25613.28   9.036285   0.00549914  -1.932508
   0.346012   25161.15   9.036566   0.00549736  -1.963729
   0.366528   24719.19   9.036865   0.00549547  -1.994812
   0.388099   24285.91   9.037177   0.00549350  -2.025844
   0.410854   23859.71   9.037493   0.00549150  -2.056916
   0.434605   23444.77   9.037800   0.00548956  -2.087700
   0.459479   23038.77   9.038090   0.00548772  -2.118338
   0.485282   22644.36   9.038350   0.00548608  -2.148594
   0.512438   22255.70   9.038586   0.00548459  -2.178905
   0.540540   21879.45   9.038807   0.00548319  -2.208746
   0.569944   21511.09   9.039019   0.00548185  -2.238454
   0.601024   21147.25   9.039227   0.00548054  -2.268296
   0.633291   20794.39   9.039430   0.00547926  -2.297730
   0.667383   20446.59   9.039633   0.00547798  -2.327234
   0.703406   20104.01   9.039836   0.00547670  -2.356789
   0.740884   19771.56   9.040029   0.00547548  -2.385951
   0.780268   19445.79   9.040216   0.00547430  -2.414998
   0.821577   19127.34   9.040398   0.00547316  -2.443864
   0.864577   18818.33   9.040575   0.00547204  -2.472335
   0.909335   18518.48   9.040749   0.00547095  -2.500412
   0.956540   18223.91   9.040924   0.00546985  -2.528442
   1.036540   17792.49   9.041195   0.00546814  -2.570332
   1.116540   17482.79   9.041410   0.00546679  -2.601051
   1.196540   17308.53   9.041557   0.00546586  -2.618601
   1.276540   17239.14   9.041648   0.00546529  -2.625670
   1.356540   17198.22   9.041723   0.00546468  -2.629857
   1.436540   17168.64   9.041793   0.00546425  -2.632917
   1.516540   17139.34   9.041862   0.00546381  -2.635953
   1.596540   17107.63   9.041932   0.00546337  -2.639241
   1.676540   17097.23   9.041991   0.00546300  -2.640356
   1.756540   17080.10   9.042054   0.00546260  -2.642160
   1.836540   17086.60   9.042106   0.00546228  -2.641551
   1.916540   17070.17   9.042169   0.00546188  -2.643285
   1.996540   17057.85   9.042230   0.00546150  -2.644601
   2.076540   17044.95   9.042291   0.00546111  -2.645976
   2.156540   17035.46   9.042351   0.00546074  -2.647003
   2.236540   17016.70   9.042415   0.00546033  -2.648981
   2.316540   16999.96   9.042478   0.00545994  -2.650754
   2.396540   16990.82   9.042538   0.00545956  -2.651748
   2.476540   16977.11   9.042599   0.00545918  -2.653212
   2.556540   16961.46   9.042661   0.00545879  -2.654876
   2.636540   16954.35   9.042719   0.00545842  -2.655662
   2.716540   16943.71   9.042779   0.00545805  -2.656812
   2.796540   16927.55   9.042841   0.00545766  -2.658533
   2.876540   16913.38   9.042902   0.00545727  -2.660048
   2.956540   16905.32   9.042961   0.00545690  -2.660934
   3.036540   16893.03   9.043021   0.00545652  -2.662259
   3.116540   16883.16   9.043081   0.00545615  -2.663334
   3.196540   16871.60   9.043141   0.00545577  -2.664583
   3.276540   16864.66   9.043199   0.00545541  -2.665356
   3.356540   16862.88   9.043254   0.00545506  -2.665595
   3.436540   16860.71   9.043310   0.00545471  -2.665874
   3.516540   16862.23   9.043364   0.00545437  -2.665771
   3.596540   16855.99   9.043422   0.00545401  -2.666473
   3.676540   16846.07   9.043481   0.00545364  -2.667555
   3.756540   16835.57   9.043541   0.00545326  -2.668697
   3.836540   16825.74   9.043601   0.00545289  -2.669772
   3.916540   16820.96   9.043658   0.00545253  -2.670322
   3.996540   16815.75   9.043715   0.00545217  -2.670917
   4.076540   16811.61   9.043772   0.00545181  -2.671402
   4.156540   16805.57   9.043830   0.00545145  -2.672085
   4.236540   16804.38   9.043885   0.00545110  -2.672262
   4.316540   16805.82   9.043939   0.00545076  -2.672168
   4.396540   16795.90   9.043999   0.00545039  -2.673254
   4.476540   16792.51   9.044056   0.00545003  -2.673661
   4.556540   16784.93   9.044115   0.00544966  -2.674504
   4.636540   16780.23   9.044172   0.00544930  -2.675048
   4.716540   16781.27   9.044227   0.00544896  -2.674995
   4.796540   16775.41   9.044285   0.00544859  -2.675660
   4.876540   16766.75   9.044344   0.00544822  -2.676617
   4.956540   16758.51   9.044403   0.00544785  -2.677529
   5.036540   16757.72   9.044459   0.00544750  -2.677666
   5.116540   16755.83   9.044515   0.00544715  -2.677919
   5.196540   16763.19   9.044567   0.00544683  -2.677207
   5.276540   16765.15   9.044621   0.00544648  -2.677060
   5.356540   16767.70   9.044676   0.00544614  -2.676849
   5.436540   16762.00   9.044734   0.00544578  -2.677499
   5.516540   16754.16   9.044793   0.00544540  -2.678370
   5.596540   16751.83   9.044850   0.00544505  -2.678669
   5.676540   16737.69   9.044912   0.00544466  -2.680199
   5.756540   16729.47   9.044972   0.00544429  -2.681110
   5.836540   16735.46   9.045025   0.00544395  -2.680541
   5.916540   16735.33   9.045080   0.00544361  -2.680611
   5.996540   16732.55   9.045137   0.00544325  -2.680956
   6.076540   16726.66   9.045196   0.00544288  -2.681626
   6.156540   16722.77   9.045253   0.00544252  -2.682088
