- M = 1.20 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68000.98   9.002095   0.00571992  -0.202119
   0.000100   66763.19   9.003914   0.00570795  -0.235850
   0.000185   65258.70   9.005268   0.00569906  -0.276798
   0.000281   63540.36   9.006505   0.00569095  -0.324391
   0.000391   61789.54   9.007677   0.00568327  -0.374102
   0.000522   60080.20   9.008800   0.00567593  -0.423959
   0.000680   58501.18   9.009851   0.00566907  -0.471277
   0.000877   57060.62   9.010843   0.00566260  -0.515581
   0.001129   55763.66   9.011789   0.00565643  -0.556468
   0.001459   54609.89   9.012703   0.00565049  -0.593702
   0.001901   53589.79   9.013594   0.00564469  -0.627350
   0.002499   52681.73   9.014467   0.00563902  -0.657912
   0.003300   51852.31   9.015331   0.00563341  -0.686343
   0.004353   51062.87   9.016200   0.00562778  -0.713864
   0.005696   50279.92   9.017087   0.00562204  -0.741593
   0.007355   49482.06   9.017984   0.00561623  -0.770278
   0.009315   48674.52   9.018863   0.00561055  -0.799741
   0.011574   47859.19   9.019705   0.00560512  -0.829928
   0.014141   47037.04   9.020500   0.00559999  -0.860825
   0.017035   46211.21   9.021270   0.00559503  -0.892365
   0.020266   45385.41   9.022016   0.00559022  -0.924436
   0.023840   44563.39   9.022739   0.00558557  -0.956910
   0.027761   43748.02   9.023437   0.00558108  -0.989688
   0.032026   42941.98   9.024102   0.00557681  -1.022659
   0.036649   42144.88   9.024737   0.00557274  -1.055842
   0.041621   41360.39   9.025346   0.00556883  -1.089092
   0.046944   40589.38   9.025937   0.00556504  -1.122372
   0.052621   39832.35   9.026513   0.00556135  -1.155654
   0.058698   39084.95   9.027083   0.00555771  -1.189130
   0.065120   38354.99   9.027644   0.00555412  -1.222441
   0.071925   37638.76   9.028192   0.00555062  -1.255735
   0.079112   36936.92   9.028722   0.00554723  -1.288964
   0.086713   36247.06   9.029234   0.00554396  -1.322227
   0.094656   35575.54   9.029718   0.00554087  -1.355197
   0.102979   34919.31   9.030176   0.00553796  -1.387998
   0.111732   34275.30   9.030608   0.00553520  -1.420767
   0.120917   33644.55   9.031021   0.00553257  -1.453446
   0.130597   33024.24   9.031422   0.00553002  -1.486175
   0.140851   32411.44   9.031819   0.00552749  -1.519110
   0.151494   31818.24   9.032213   0.00552498  -1.551593
   0.162587   31241.00   9.032602   0.00552251  -1.583786
   0.174283   30672.87   9.032985   0.00552007  -1.616052
   0.186504   30118.00   9.033359   0.00551769  -1.648139
   0.199387   29572.01   9.033728   0.00551535  -1.680289
   0.212771   29042.35   9.034085   0.00551309  -1.712042
   0.226920   28518.57   9.034436   0.00551085  -1.744010
   0.241775   28005.58   9.034783   0.00550866  -1.775889
   0.257177   27507.58   9.035109   0.00550659  -1.807384
   0.273317   27019.34   9.035420   0.00550462  -1.838806
   0.290107   26543.71   9.035716   0.00550274  -1.869954
   0.307691   26077.76   9.036002   0.00550093  -1.901005
   0.326453   25613.28   9.036285   0.00549914  -1.932508
   0.346012   25161.15   9.036566   0.00549736  -1.963729
   0.366528   24719.19   9.036865   0.00549547  -1.994812
   0.388099   24285.91   9.037177   0.00549350  -2.025844
   0.410854   23859.71   9.037493   0.00549150  -2.056916
   0.434605   23444.77   9.037800   0.00548956  -2.087700
   0.459479   23038.77   9.038090   0.00548772  -2.118338
   0.485282   22644.36   9.038350   0.00548608  -2.148594
   0.512438   22255.70   9.038586   0.00548459  -2.178905
   0.540540   21879.45   9.038807   0.00548319  -2.208746
   0.569944   21511.09   9.039019   0.00548185  -2.238454
   0.601024   21147.25   9.039227   0.00548054  -2.268296
   0.633291   20794.39   9.039430   0.00547926  -2.297730
   0.667383   20446.59   9.039633   0.00547798  -2.327234
   0.703406   20104.01   9.039836   0.00547670  -2.356789
   0.740884   19771.56   9.040029   0.00547548  -2.385951
   0.780268   19445.79   9.040216   0.00547430  -2.414998
   0.821577   19127.34   9.040398   0.00547316  -2.443864
   0.864577   18818.33   9.040575   0.00547204  -2.472335
   0.909335   18518.48   9.040749   0.00547095  -2.500412
   0.956540   18223.91   9.040924   0.00546985  -2.528442
   1.012785   17936.33   9.041097   0.00546876  -2.556247
   1.082730   17652.33   9.041304   0.00546745  -2.584180
   1.164296   17377.26   9.041519   0.00546610  -2.611678
   1.256117   17109.69   9.041732   0.00546476  -2.638848
   1.353080   16853.41   9.041938   0.00546347  -2.665272
   1.457689   16603.14   9.042139   0.00546220  -2.691463
   1.568173   16359.24   9.042332   0.00546099  -2.717364
   1.680972   16124.79   9.042509   0.00545988  -2.742617
   1.798334   15896.07   9.042680   0.00545880  -2.767606
   1.919591   15668.71   9.042848   0.00545775  -2.792799
   2.041107   15451.27   9.043007   0.00545674  -2.817235
   2.162112   15240.84   9.043161   0.00545578  -2.841210
   2.286524   15037.70   9.043308   0.00545486  -2.864666
   2.408444   14839.15   9.043450   0.00545396  -2.887899
   2.528636   14653.54   9.043585   0.00545311  -2.909899
   2.638254   14486.08   9.043712   0.00545232  -2.929994
   2.729939   14343.38   9.043824   0.00545162  -2.947302
   2.814148   14210.77   9.043930   0.00545095  -2.963544
   2.896245   14084.71   9.044028   0.00545033  -2.979122
   2.976352   13964.25   9.044121   0.00544975  -2.994135
   3.054914   13848.27   9.044208   0.00544921  -3.008710
   3.132323   13732.32   9.044290   0.00544869  -3.023398
   3.204931   13618.47   9.044367   0.00544821  -3.037938
   3.276649   13508.20   9.044437   0.00544777  -3.052131
   3.356796   13393.84   9.044509   0.00544732  -3.066973
   3.428091   13287.72   9.044578   0.00544689  -3.080859
   3.499074   13182.71   9.044646   0.00544646  -3.094712
   3.570017   13078.83   9.044714   0.00544603  -3.108524
   3.642957   12971.98   9.044785   0.00544558  -3.122844
   3.717997   12861.69   9.044859   0.00544512  -3.137750
   3.791585   12754.84   9.044930   0.00544468  -3.152314
   3.863524   12651.73   9.045000   0.00544424  -3.166485
   3.936921   12545.64   9.045071   0.00544379  -3.181183
   4.010280   12439.18   9.045142   0.00544335  -3.196060
   4.081700   12336.04   9.045211   0.00544292  -3.210592
   4.150086   12234.64   9.045275   0.00544251  -3.224996
   4.218397   12135.74   9.045342   0.00544210  -3.239162
   4.286205   12037.43   9.045410   0.00544167  -3.253359
   4.351349   11934.16   9.045480   0.00544123  -3.268396
   4.418909   11833.49   9.045548   0.00544081  -3.283182
   4.483890   11729.58   9.045616   0.00544038  -3.298571
   4.550339   11627.86   9.045681   0.00543997  -3.313766
   4.612932   11526.14   9.045743   0.00543958  -3.329092
   4.677990   11420.05   9.045805   0.00543920  -3.345216
   4.741244   11315.39   9.045862   0.00543884  -3.361268
   4.806928   11207.24   9.045919   0.00543848  -3.378008
   4.869070   11103.98   9.045968   0.00543818  -3.394138
   4.933908   10996.51   9.046016   0.00543788  -3.411080
   4.996238   10891.98   9.046059   0.00543761  -3.427716
   5.056776   10791.49   9.046100   0.00543735  -3.443858
   5.116934   10691.29   9.046140   0.00543710  -3.460104
   5.176768   10591.62   9.046181   0.00543684  -3.476416
   5.237648   10489.47   9.046222   0.00543658  -3.493292
   5.297085   10390.21   9.046263   0.00543633  -3.509851
   5.356513   10291.12   9.046305   0.00543606  -3.526539
   5.416440   10191.10   9.046349   0.00543579  -3.543549
   5.475921   10092.29   9.046391   0.00543553  -3.560517
   5.537283    9990.19   9.046434   0.00543526  -3.578224
   5.596361    9893.15   9.046475   0.00543500  -3.595220
   5.656069    9795.62   9.046517   0.00543474  -3.612474
   5.712141    9699.55   9.046558   0.00543448  -3.629635
   5.771485    9603.89   9.046599   0.00543423  -3.646894
   5.831341    9508.47   9.046639   0.00543398  -3.664280
   5.888210    9413.56   9.046678   0.00543373  -3.681746
   5.949000    9317.68   9.046715   0.00543350  -3.699568
