- M = 1.00 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.060
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   56001.01   8.618234   0.00812325  -0.234716
   0.000100   55824.47   8.620686   0.00810035  -0.242653
   0.000182   55391.34   8.622229   0.00808597  -0.257727
   0.000280   54604.86   8.623772   0.00807161  -0.284113
   0.000391   53535.57   8.625371   0.00805677  -0.320067
   0.000512   52316.51   8.626926   0.00804236  -0.361637
   0.000644   51017.33   8.628429   0.00802846  -0.406824
   0.000790   49692.02   8.629874   0.00801511  -0.453993
   0.000955   48367.77   8.631265   0.00800228  -0.502307
   0.001143   47064.44   8.632604   0.00798996  -0.551098
   0.001360   45796.12   8.633892   0.00797812  -0.599843
   0.001617   44568.89   8.635130   0.00796676  -0.648268
   0.001923   43390.34   8.636321   0.00795584  -0.696014
   0.002290   42282.79   8.637452   0.00794549  -0.742063
   0.002735   41247.23   8.638529   0.00793564  -0.786216
   0.003281   40282.34   8.639560   0.00792622  -0.828367
   0.003961   39384.82   8.640551   0.00791719  -0.868502
   0.004813   38548.79   8.641509   0.00790846  -0.906732
   0.005884   37765.31   8.642437   0.00790002  -0.943330
   0.007226   37023.24   8.643336   0.00789185  -0.978704
   0.008896   36310.73   8.644209   0.00788392  -1.013334
   0.010945   35617.24   8.645063   0.00787617  -1.047687
   0.013406   34938.65   8.645897   0.00786861  -1.081938
   0.016286   34275.33   8.646708   0.00786127  -1.116047
   0.019609   33623.27   8.647500   0.00785410  -1.150206
   0.023376   32983.83   8.648272   0.00784713  -1.184333
   0.027609   32354.69   8.649026   0.00784032  -1.218543
   0.032308   31736.66   8.649759   0.00783370  -1.252779
   0.037491   31128.16   8.650468   0.00782731  -1.287120
   0.043133   30532.65   8.651153   0.00782114  -1.321360
   0.049285   29945.82   8.651818   0.00781515  -1.355739
   0.055877   29374.24   8.652458   0.00780940  -1.389857
   0.062979   28811.89   8.653079   0.00780382  -1.424057
   0.070576   28260.25   8.653678   0.00779843  -1.458240
   0.078656   27720.27   8.654255   0.00779326  -1.492330
   0.087224   27192.36   8.654811   0.00778827  -1.526289
   0.096315   26674.84   8.655352   0.00778342  -1.560211
   0.105942   26167.62   8.655881   0.00777869  -1.594090
   0.116061   25673.52   8.656396   0.00777407  -1.627720
   0.126738   25190.00   8.656902   0.00776954  -1.661255
   0.137960   24717.51   8.657393   0.00776516  -1.694640
   0.149812   24253.85   8.657870   0.00776089  -1.728013
   0.162251   23801.22   8.658333   0.00775676  -1.761201
   0.175300   23359.29   8.658783   0.00775273  -1.794210
   0.189076   22925.40   8.659226   0.00774878  -1.827224
   0.203661   22498.62   8.659673   0.00774479  -1.860315
   0.218938   22082.91   8.660125   0.00774077  -1.893165
   0.235043   21675.35   8.660577   0.00773674  -1.925978
   0.251921   21277.50   8.661017   0.00773283  -1.958600
   0.269685   20887.05   8.661440   0.00772906  -1.991197
   0.288061   20509.93   8.661832   0.00772557  -2.023241
   0.307446   20138.53   8.662199   0.00772230  -2.055354
   0.327790   19775.05   8.662553   0.00771916  -2.087349
   0.349193   19418.61   8.662896   0.00771612  -2.119289
   0.371539   19071.87   8.663227   0.00771318  -2.150919
   0.395269   18729.36   8.663553   0.00771027  -2.182727
   0.419926   18398.01   8.663870   0.00770747  -2.214053
   0.446098   18070.53   8.664182   0.00770470  -2.245564
   0.473495   17751.05   8.664479   0.00770206  -2.276849
   0.502213   17438.85   8.664765   0.00769952  -2.307960
   0.532123   17135.78   8.665041   0.00769708  -2.338691
   0.563840   16836.57   8.665315   0.00769466  -2.369566
   0.596738   16547.82   8.665582   0.00769229  -2.399885
   0.631496   16264.29   8.665850   0.00768992  -2.430175
   0.668091   15986.90   8.666110   0.00768761  -2.460318
   0.706362   15717.26   8.666355   0.00768545  -2.490113
   0.746772   15452.89   8.666589   0.00768337  -2.519816
   0.788872   15197.21   8.666814   0.00768139  -2.549024
   0.833207   14947.41   8.667034   0.00767944  -2.578036
   0.879795   14704.05   8.667252   0.00767752  -2.606769
   0.928833   14466.84   8.667472   0.00767557  -2.635243
   0.979067   14241.68   8.667694   0.00767361  -2.662714
   1.030646   14027.17   8.667915   0.00767166  -2.689300
   1.080416   13834.15   8.668121   0.00766984  -2.713576
   1.127893   13661.48   8.668309   0.00766818  -2.735584
   1.169643   13517.86   8.668468   0.00766677  -2.754102
   1.209193   13388.53   8.668613   0.00766549  -2.770947
   1.247366   13269.46   8.668747   0.00766431  -2.786599
   1.285495   13155.84   8.668873   0.00766320  -2.801663
   1.324682   13044.25   8.668994   0.00766213  -2.816582
   1.364736   12935.24   8.669109   0.00766112  -2.831276
   1.405744   12828.57   8.669218   0.00766015  -2.845770
   1.448315   12722.83   8.669325   0.00765921  -2.860256
   1.491719   12619.85   8.669427   0.00765831  -2.874477
   1.537579   12516.06   8.669530   0.00765741  -2.888925
   1.583227   12417.42   8.669627   0.00765655  -2.902767
   1.632060   12316.85   8.669726   0.00765568  -2.916993
   1.684233   12214.55   8.669827   0.00765479  -2.931584
   1.738377   12113.59   8.669929   0.00765389  -2.946103
   1.795898   12011.69   8.670036   0.00765295  -2.960886
   1.854599   11912.88   8.670144   0.00765200  -2.975343
   1.916420   11813.96   8.670258   0.00765099  -2.989941
   1.979739   11717.75   8.670375   0.00764996  -3.004264
   2.046167   11621.90   8.670499   0.00764886  -3.018657
   2.115087   11527.39   8.670627   0.00764774  -3.032969
   2.187897   11432.53   8.670760   0.00764657  -3.047457
   2.266003   11335.99   8.670898   0.00764536  -3.062325
   2.348701   11238.93   8.671038   0.00764412  -3.077403
   2.434935   11142.90   8.671176   0.00764291  -3.092449
   2.529140   11043.38   8.671317   0.00764167  -3.108174
   2.638670   10969.15   8.671388   0.00764105  -3.119961
   2.779312   10875.08   8.671524   0.00763985  -3.135060
   2.929494   10776.38   8.671650   0.00763874  -3.151024
   3.099348   10677.68   8.671773   0.00763766  -3.167131
   3.283283   10580.59   8.671892   0.00763661  -3.183118
   3.479813   10483.57   8.672010   0.00763557  -3.199239
   3.689100   10387.35   8.672127   0.00763455  -3.215373
   3.902831   10289.11   8.672242   0.00763353  -3.231997
   4.133000   10187.12   8.672363   0.00763247  -3.249424
   4.362944   10087.47   8.672484   0.00763141  -3.266621
   4.596874    9989.86   8.672603   0.00763036  -3.283631
   4.835617    9892.31   8.672725   0.00762929  -3.300800
   5.085846    9792.90   8.672849   0.00762820  -3.318470
   5.322475    9698.32   8.672968   0.00762715  -3.335448
   5.566942    9602.10   8.673090   0.00762608  -3.352891
   5.801607    9510.02   8.673207   0.00762505  -3.369747
   6.038755    9414.34   8.673326   0.00762401  -3.387432
   6.270613    9321.88   8.673438   0.00762303  -3.404690
   6.500825    9231.44   8.673542   0.00762211  -3.421730
   6.738397    9137.71   8.673647   0.00762119  -3.439564
   6.958699    9049.80   8.673741   0.00762037  -3.456451
   7.179329    8962.30   8.673832   0.00761957  -3.473420
   7.396650    8871.40   8.673923   0.00761878  -3.491219
   7.613503    8783.72   8.674006   0.00761804  -3.508558
   7.813662    8697.74   8.674087   0.00761733  -3.525728
   8.019510    8608.56   8.674170   0.00761660  -3.543715
   8.211701    8524.20   8.674247   0.00761593  -3.560898
   8.391785    8441.23   8.674322   0.00761527  -3.577965
   8.585553    8354.48   8.674398   0.00761461  -3.595986
   8.767122    8268.61   8.674472   0.00761396  -3.614008
   8.939999    8185.33   8.674541   0.00761335  -3.631662
   9.114470    8100.02   8.674613   0.00761273  -3.649935
   9.283282    8016.76   8.674683   0.00761211  -3.667953
   9.440762    7939.49   8.674750   0.00761152  -3.684846
   9.586990    7863.45   8.674819   0.00761092  -3.701632
   9.730612    7785.74   8.674889   0.00761030  -3.718954
   9.879863    7708.76   8.674959   0.00760969  -3.736287
  10.016420    7634.60   8.675026   0.00760910  -3.753146
  10.147430    7562.74   8.675089   0.00760855  -3.769639
  10.275390    7492.93   8.675147   0.00760805  -3.785805
  10.392010    7423.88   8.675199   0.00760759  -3.801941
  10.513800    7355.38   8.675248   0.00760716  -3.818094
  10.630960    7290.15   8.675293   0.00760677  -3.833612
  10.738480    7226.61   8.675338   0.00760638  -3.848864
  10.846470    7166.11   8.675381   0.00760600  -3.863513
  10.945480    7107.94   8.675424   0.00760562  -3.877715
  11.041150    7051.30   8.675469   0.00760522  -3.891657
  11.132490    6997.74   8.675513   0.00760484  -3.904948
  11.221350    6946.11   8.675558   0.00760445  -3.917856
  11.308170    6895.77   8.675603   0.00760405  -3.930538
  11.387260    6847.01   8.675649   0.00760365  -3.942910
  11.469260    6800.56   8.675693   0.00760326  -3.954781
  11.551510    6755.32   8.675738   0.00760287  -3.966420
  11.633500    6710.99   8.675782   0.00760248  -3.977901
  11.709460    6668.29   8.675827   0.00760209  -3.989035
  11.788500    6627.39   8.675870   0.00760172  -3.999766
  11.862410    6588.30   8.675913   0.00760134  -4.010084
  11.936060    6550.04   8.675955   0.00760097  -4.020245
  12.008570    6513.63   8.675997   0.00760060  -4.029971
  12.081060    6478.35   8.676038   0.00760025  -4.039446
  12.153500    6444.15   8.676078   0.00759990  -4.048682
  12.230260    6410.95   8.676117   0.00759955  -4.057693
  12.302550    6378.41   8.676156   0.00759921  -4.066573
  12.374910    6346.75   8.676194   0.00759888  -4.075254
  12.447730    6315.54   8.676231   0.00759855  -4.083855
  12.520710    6284.84   8.676267   0.00759824  -4.092356
  12.593780    6254.59   8.676302   0.00759794  -4.100771
  12.666740    6224.88   8.676335   0.00759765  -4.109077
  12.739440    6195.80   8.676367   0.00759737  -4.117242
  12.811710    6167.38   8.676397   0.00759710  -4.125260
  12.883390    6139.63   8.676427   0.00759684  -4.133124
  12.954390    6112.49   8.676456   0.00759659  -4.140848
  13.024690    6085.86   8.676484   0.00759634  -4.148461
  13.094300    6059.62   8.676512   0.00759610  -4.155997
  13.163120    6033.35   8.676539   0.00759586  -4.163572
  13.226790    6007.73   8.676566   0.00759562  -4.170991
  13.294740    5981.78   8.676593   0.00759539  -4.178537
  13.361980    5956.04   8.676621   0.00759515  -4.186056
  13.428860    5930.24   8.676648   0.00759491  -4.193624
  13.495020    5904.60   8.676674   0.00759468  -4.201179
  13.560440    5879.19   8.676700   0.00759446  -4.208695
  13.625090    5854.04   8.676725   0.00759424  -4.216167
  13.688880    5829.22   8.676749   0.00759403  -4.223572
  13.751780    5804.76   8.676772   0.00759382  -4.230900
  13.813790    5780.64   8.676795   0.00759362  -4.238156
  13.874880    5756.82   8.676818   0.00759343  -4.245351
  13.935050    5733.25   8.676840   0.00759323  -4.252503
  13.994310    5709.83   8.676861   0.00759305  -4.259633
  14.052720    5686.48   8.676882   0.00759286  -4.266772
  14.110300    5663.12   8.676903   0.00759268  -4.273944
  14.167070    5639.68   8.676923   0.00759251  -4.281171
  14.223060    5616.09   8.676942   0.00759234  -4.288473
  14.278360    5592.36   8.676961   0.00759218  -4.295847
  14.333010    5568.55   8.676979   0.00759202  -4.303276
  14.386940    5545.45   8.676996   0.00759187  -4.310514
  14.438330    5522.42   8.677012   0.00759172  -4.317761
  14.490600    5498.85   8.677028   0.00759158  -4.325206
  14.542130    5475.65   8.677045   0.00759144  -4.332567
  14.593130    5452.56   8.677060   0.00759131  -4.339924
  14.643420    5429.73   8.677075   0.00759117  -4.347228
  14.692920    5407.07   8.677090   0.00759104  -4.354509
  14.741770    5385.04   8.677105   0.00759092  -4.361615
  14.790850    5361.84   8.677119   0.00759079  -4.369130
  14.837940    5339.48   8.677134   0.00759066  -4.376402
  14.884690    5316.87   8.677148   0.00759054  -4.383791
  14.930900    5294.11   8.677162   0.00759041  -4.391258
  14.976490    5271.54   8.677176   0.00759029  -4.398692
  15.022380    5247.72   8.677190   0.00759017  -4.406573
  15.066780    5224.25   8.677204   0.00759005  -4.414372
  15.110960    5200.75   8.677216   0.00758994  -4.422218
  15.155400    5176.24   8.677229   0.00758983  -4.430438
  15.199150    5151.24   8.677241   0.00758972  -4.438859
  15.242020    5126.75   8.677253   0.00758962  -4.447150
  15.285250    5101.28   8.677264   0.00758953  -4.455813
  15.327850    5075.44   8.677274   0.00758944  -4.464646
  15.369650    5050.14   8.677284   0.00758935  -4.473337
  15.411670    5023.89   8.677294   0.00758927  -4.482400
  15.452650    4998.46   8.677304   0.00758918  -4.491223
