- M = 1.25 Mo
- log q(H) = -6.0
- log q(He) = -3.0
- X(O) from Bauer (2023)
- X(Ne) = 0.030
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   70000.98   9.134418   0.00501294  -0.266358
   0.000100   69620.42   9.134701   0.00501131  -0.276110
   0.000200   69189.00   9.135399   0.00500728  -0.287606
   0.000400   68412.03   9.136078   0.00500337  -0.307904
   0.000800   67314.45   9.136916   0.00499855  -0.336838
   0.001502   66121.82   9.137878   0.00499301  -0.368854
   0.002492   65046.67   9.138854   0.00498741  -0.398309
   0.003816   64001.76   9.139888   0.00498147  -0.427476
   0.005387   62984.82   9.140946   0.00497541  -0.456358
   0.007127   61984.26   9.141983   0.00496947  -0.485213
   0.009013   60985.50   9.142969   0.00496383  -0.514418
   0.011026   59988.51   9.143888   0.00495858  -0.543971
   0.013158   58989.27   9.144762   0.00495359  -0.574026
   0.015406   57998.56   9.145613   0.00494874  -0.604300
   0.017775   57011.60   9.146443   0.00494402  -0.634946
   0.020258   56035.10   9.147248   0.00493944  -0.665763
   0.022851   55069.91   9.148016   0.00493507  -0.696715
   0.025553   54119.74   9.148747   0.00493092  -0.727680
   0.028364   53184.40   9.149446   0.00492695  -0.758665
   0.031296   52264.86   9.150124   0.00492311  -0.789641
   0.034349   51361.42   9.150788   0.00491935  -0.820595
   0.037526   50475.10   9.151451   0.00491560  -0.851498
   0.040850   49601.33   9.152116   0.00491183  -0.882499
   0.044312   48741.93   9.152766   0.00490816  -0.913511
   0.047906   47898.87   9.153394   0.00490461  -0.944448
   0.051621   47074.26   9.153994   0.00490122  -0.975216
   0.055481   46263.00   9.154567   0.00489799  -1.005987
   0.059503   45462.97   9.155117   0.00489489  -1.036841
   0.063655   44680.74   9.155635   0.00489198  -1.067509
   0.067972   43910.13   9.156124   0.00488922  -1.098221
   0.072445   43154.77   9.156596   0.00488656  -1.128836
   0.077095   42412.43   9.157062   0.00488394  -1.159445
   0.081949   41680.87   9.157531   0.00488131  -1.190139
   0.086997   40962.53   9.158001   0.00487867  -1.220809
   0.092225   40260.20   9.158471   0.00487603  -1.251323
   0.097656   39570.82   9.158938   0.00487341  -1.281793
   0.103336   38889.28   9.159398   0.00487083  -1.312434
   0.109207   38222.92   9.159843   0.00486833  -1.342904
   0.115333   37564.98   9.160275   0.00486591  -1.373498
   0.121676   36919.22   9.160673   0.00486368  -1.404019
   0.128190   36289.80   9.161026   0.00486171  -1.434243
   0.134950   35670.88   9.161349   0.00485990  -1.464450
   0.142019   35058.78   9.161658   0.00485817  -1.494826
   0.149298   34463.70   9.161960   0.00485648  -1.524868
   0.156912   33877.37   9.162276   0.00485471  -1.554993
   0.164916   33298.32   9.162628   0.00485274  -1.585295
   0.173318   32727.35   9.163023   0.00485054  -1.615735
   0.181966   32173.91   9.163434   0.00484825  -1.645774
   0.190965   31629.52   9.163847   0.00484594  -1.675832
   0.200323   31092.84   9.164241   0.00484374  -1.705955
   0.210114   30559.29   9.164599   0.00484175  -1.736381
   0.220053   30043.83   9.164902   0.00484006  -1.766237
   0.230389   29534.61   9.165177   0.00483853  -1.796208
   0.241143   29031.88   9.165433   0.00483710  -1.826288
   0.252323   28536.38   9.165678   0.00483574  -1.856438
   0.265201   28010.78   9.165944   0.00483425  -1.888999
   0.279952   27491.04   9.166232   0.00483265  -1.921823
   0.297153   26993.12   9.166541   0.00483094  -1.953884
   0.316491   26529.46   9.166846   0.00482924  -1.984288
   0.337646   26088.27   9.167145   0.00482757  -2.013720
   0.360810   25654.54   9.167436   0.00482596  -2.043135
   0.384756   25235.73   9.167719   0.00482439  -2.072011
   0.409564   24822.49   9.168002   0.00482281  -2.100976
   0.435324   24415.85   9.168285   0.00482124  -2.129954
   0.461885   24014.43   9.168561   0.00481971  -2.159028
   0.488790   23620.96   9.168818   0.00481829  -2.187984
   0.515887   23233.33   9.169059   0.00481695  -2.216969
   0.542988   22851.72   9.169293   0.00481565  -2.245973
   0.571217   22470.93   9.169530   0.00481434  -2.275401
   0.600827   22095.30   9.169762   0.00481305  -2.304918
   0.632296   21725.25   9.169988   0.00481180  -2.334485
   0.665757   21366.47   9.170203   0.00481061  -2.363628
   0.701609   21014.25   9.170410   0.00480946  -2.392710
   0.737484   20670.75   9.170606   0.00480838  -2.421538
   0.774323   20334.69   9.170795   0.00480733  -2.450201
   0.812505   20003.92   9.170980   0.00480631  -2.478876
   0.851856   19677.93   9.171164   0.00480529  -2.507602
   0.890021   19358.37   9.171349   0.00480427  -2.536229
   0.928185   19047.28   9.171531   0.00480326  -2.564555
   0.967137   18737.31   9.171711   0.00480227  -2.593238
   1.003934   18438.26   9.171881   0.00480132  -2.621357
   1.042884   18141.31   9.172043   0.00480043  -2.649725
   1.080604   17851.83   9.172193   0.00479960  -2.677818
   1.121084   17561.34   9.172339   0.00479879  -2.706464
   1.160176   17281.21   9.172483   0.00479800  -2.734542
   1.199505   17008.57   9.172631   0.00479718  -2.762316
   1.239772   16739.92   9.172785   0.00479633  -2.790127
   1.280777   16476.14   9.172940   0.00479548  -2.817873
   1.320152   16217.87   9.173093   0.00479463  -2.845474
   1.361390   15967.52   9.173241   0.00479381  -2.872647
   1.400821   15723.35   9.173381   0.00479304  -2.899556
   1.439424   15488.67   9.173509   0.00479233  -2.925808
   1.478183   15257.89   9.173634   0.00479165  -2.952012
   1.516039   15038.00   9.173755   0.00479098  -2.977350
   1.549350   14840.67   9.173862   0.00479039  -3.000404
   1.577031   14670.33   9.173957   0.00478986  -3.020552
   1.604120   14518.40   9.174040   0.00478940  -3.038721
   1.629065   14373.68   9.174120   0.00478897  -3.056204
   1.655187   14233.10   9.174197   0.00478854  -3.073355
   1.678990   14099.91   9.174269   0.00478814  -3.089760
   1.702047   13971.12   9.174339   0.00478776  -3.105769
   1.725096   13844.09   9.174407   0.00478738  -3.121705
   1.747727   13721.11   9.174472   0.00478703  -3.137270
   1.770510   13598.53   9.174535   0.00478668  -3.152922
   1.793524   13475.66   9.174597   0.00478634  -3.168752
   1.816714   13352.75   9.174658   0.00478600  -3.184731
   1.839553   13232.99   9.174717   0.00478567  -3.200441
   1.863145   13109.65   9.174778   0.00478534  -3.216770
   1.886872   12986.40   9.174839   0.00478500  -3.233239
   1.910537   12864.66   9.174900   0.00478467  -3.249663
   1.933856   12745.96   9.174960   0.00478433  -3.265826
   1.956788   12630.63   9.175020   0.00478401  -3.281676
   1.980096   12514.09   9.175081   0.00478367  -3.297840
   2.002451   12395.04   9.175145   0.00478331  -3.314509
   2.023992   12279.19   9.175209   0.00478297  -3.330885
   2.048250   12159.59   9.175274   0.00478261  -3.347954
   2.072007   12044.96   9.175335   0.00478227  -3.364469
   2.096088   11929.52   9.175397   0.00478193  -3.381261
   2.121161   11809.68   9.175460   0.00478158  -3.398863
   2.146702   11688.45   9.175525   0.00478123  -3.416853
   2.170603   11569.34   9.175588   0.00478088  -3.434709
   2.194092   11452.18   9.175650   0.00478054  -3.452452
   2.220092   11332.41   9.175713   0.00478019  -3.470780
   2.246482   11212.55   9.175777   0.00477984  -3.489315
   2.272434   11096.37   9.175838   0.00477950  -3.507470
   2.298697   10980.03   9.175899   0.00477917  -3.525841
   2.325443   10862.85   9.175960   0.00477883  -3.544541
   2.352209   10747.35   9.176022   0.00477849  -3.563172
   2.379544   10631.08   9.176084   0.00477815  -3.582130
   2.406569   10518.13   9.176145   0.00477781  -3.600746
   2.434532   10402.75   9.176209   0.00477746  -3.619972
   2.462283   10290.20   9.176271   0.00477712  -3.638931
   2.490884   10175.82   9.176334   0.00477677  -3.658412
   2.519459   10063.49   9.176396   0.00477643  -3.677756
   2.549135    9948.47   9.176458   0.00477609  -3.697788
   2.578197    9837.94   9.176516   0.00477577  -3.717255
   2.607312    9728.98   9.176571   0.00477547  -3.736658
   2.637640    9617.55   9.176627   0.00477516  -3.756726
   2.667306    9509.34   9.176679   0.00477487  -3.776434
   2.697719    9400.61   9.176731   0.00477459  -3.796464
   2.728499    9292.41   9.176782   0.00477431  -3.816624
   2.759281    9186.09   9.176832   0.00477403  -3.836664
   2.790242    9084.00   9.176879   0.00477377  -3.856126
   2.821988    8977.19   9.176929   0.00477350  -3.876724
   2.852971    8875.30   9.176976   0.00477324  -3.896600
   2.884184    8776.41   9.177023   0.00477299  -3.916110
   2.915958    8677.53   9.177070   0.00477273  -3.935842
   2.946526    8581.20   9.177116   0.00477247  -3.955280
   2.977654    8484.99   9.177160   0.00477223  -3.974911
   3.009055    8391.57   9.177203   0.00477200  -3.994185
   3.039307    8300.63   9.177244   0.00477177  -4.013156
   3.069537    8211.58   9.177285   0.00477155  -4.031933
   3.099874    8123.66   9.177324   0.00477133  -4.050672
   3.130154    8037.71   9.177364   0.00477111  -4.069191
   3.159432    7955.15   9.177402   0.00477090  -4.087164
   3.189829    7871.03   9.177442   0.00477068  -4.105671
   3.219378    7790.60   9.177482   0.00477046  -4.123553
   3.248532    7712.40   9.177522   0.00477024  -4.141120
   3.275862    7640.24   9.177560   0.00477003  -4.157487
   3.303009    7569.48   9.177598   0.00476983  -4.173690
   3.330544    7499.99   9.177635   0.00476963  -4.189748
