- M = 1.25 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
   3.558702   14064.92   9.177025   0.00477298  -3.096831
   3.611818   13945.68   9.177097   0.00477258  -3.111694
   3.665057   13825.46   9.177169   0.00477218  -3.126807
   3.713040   13715.68   9.177236   0.00477181  -3.140722
   3.762884   13602.01   9.177304   0.00477144  -3.155247
   3.810690   13495.99   9.177366   0.00477110  -3.168903
   3.858722   13387.65   9.177425   0.00477078  -3.182963
   3.908137   13274.47   9.177482   0.00477046  -3.197769
   3.956621   13163.01   9.177538   0.00477016  -3.212472
   4.002981   13056.74   9.177592   0.00476986  -3.226608
   4.046809   12947.76   9.177646   0.00476956  -3.241223
   4.088884   12840.42   9.177701   0.00476926  -3.255739
   4.133330   12736.16   9.177753   0.00476898  -3.269954
   4.177649   12632.93   9.177804   0.00476870  -3.284143
   4.218786   12528.99   9.177853   0.00476843  -3.298545
   4.261495   12428.28   9.177899   0.00476817  -3.312612
   4.304804   12326.61   9.177945   0.00476792  -3.326926
   4.345438   12223.35   9.177990   0.00476768  -3.341585
   4.390291   12115.59   9.178034   0.00476743  -3.357012
   4.435531   12007.26   9.178076   0.00476720  -3.372656
   4.476370   11903.11   9.178112   0.00476700  -3.387826
   4.519807   11799.51   9.178147   0.00476681  -3.403047
   4.561465   11693.57   9.178180   0.00476663  -3.418747
   4.605484   11589.05   9.178213   0.00476645  -3.434377
   4.647589   11483.10   9.178246   0.00476627  -3.450365
   4.692029   11378.66   9.178279   0.00476609  -3.466270
   4.734472   11273.29   9.178313   0.00476590  -3.482465
   4.779219   11168.36   9.178347   0.00476571  -3.498745
   4.821035   11065.54   9.178383   0.00476552  -3.514847
   4.863529   10961.94   9.178419   0.00476532  -3.531226
   4.906232   10858.62   9.178455   0.00476512  -3.547711
   4.951552   10756.05   9.178489   0.00476494  -3.564234
   4.993993   10655.10   9.178523   0.00476475  -3.580649
   5.037051   10552.80   9.178558   0.00476456  -3.597442
   5.079998   10451.52   9.178592   0.00476437  -3.614230
   5.125599   10349.47   9.178627   0.00476418  -3.631309
   5.170422   10244.09   9.178662   0.00476399  -3.649123
   5.213216   10144.94   9.178694   0.00476381  -3.666052
   5.256520   10045.14   9.178725   0.00476364  -3.683257
   5.299853    9945.91   9.178757   0.00476346  -3.700535
   5.343293    9847.00   9.178791   0.00476328  -3.717931
   5.389374    9747.01   9.178825   0.00476309  -3.735696
   5.432106    9650.63   9.178860   0.00476290  -3.752992
   5.475243    9553.71   9.178895   0.00476271  -3.770563
   5.518285    9457.56   9.178930   0.00476252  -3.788169
   5.564251    9358.84   9.178964   0.00476233  -3.806432
   5.607703    9262.49   9.178997   0.00476215  -3.824442
   5.652001    9164.72   9.179027   0.00476199  -3.842906
   5.696327    9070.81   9.179052   0.00476185  -3.860824
   5.738714    8978.34   9.179076   0.00476171  -3.878648
   5.782702    8882.86   9.179100   0.00476159  -3.897244
   5.825770    8793.04   9.179121   0.00476147  -3.914919
   5.868674    8701.04   9.179142   0.00476135  -3.933213
   5.911070    8613.51   9.179161   0.00476125  -3.950797
   5.953189    8524.38   9.179182   0.00476114  -3.968886
   5.994869    8437.50   9.179202   0.00476102  -3.986703
   6.036551    8350.19   9.179223   0.00476091  -4.004793
   6.077270    8266.00   9.179244   0.00476079  -4.022419
   6.117693    8184.88   9.179265   0.00476068  -4.039571
   6.158538    8101.18   9.179285   0.00476057  -4.057447
   6.197698    8023.40   9.179303   0.00476047  -4.074225
   6.237190    7943.46   9.179322   0.00476037  -4.091639
   6.274854    7868.12   9.179339   0.00476028  -4.108210
   6.312148    7795.42   9.179356   0.00476018  -4.124353
   6.347133    7726.17   9.179373   0.00476009  -4.139871
   6.382746    7656.29   9.179392   0.00475999  -4.155673
   6.417564    7588.46   9.179410   0.00475989  -4.171152
   6.451595    7522.60   9.179429   0.00475978  -4.186313
   6.484667    7460.18   9.179449   0.00475968  -4.200807
