- M = 1.10 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.060
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   64001.01   8.798214   0.00692526  -0.141339
   0.000100   63286.32   8.801276   0.00690089  -0.163910
   0.000166   62437.96   8.802890   0.00688808  -0.188968
   0.000241   61208.66   8.804427   0.00687590  -0.225049
   0.000323   59792.11   8.805885   0.00686436  -0.267183
   0.000412   58281.20   8.807270   0.00685343  -0.313030
   0.000513   56739.04   8.808596   0.00684297  -0.360941
   0.000627   55200.10   8.809873   0.00683292  -0.409987
   0.000760   53693.49   8.811102   0.00682326  -0.459289
   0.000917   52234.41   8.812286   0.00681397  -0.508332
   0.001106   50845.25   8.813419   0.00680509  -0.556290
   0.001334   49546.15   8.814492   0.00679668  -0.602325
   0.001614   48340.59   8.815509   0.00678873  -0.646134
   0.001965   47229.98   8.816472   0.00678121  -0.687474
   0.002411   46212.93   8.817387   0.00677406  -0.726206
   0.002984   45283.61   8.818267   0.00676721  -0.762376
   0.003727   44430.08   8.819127   0.00676051  -0.796292
   0.004690   43634.48   8.819981   0.00675387  -0.828534
   0.005923   42875.72   8.820833   0.00674724  -0.859860
   0.007476   42134.15   8.821681   0.00674066  -0.891017
   0.009388   41395.01   8.822506   0.00673426  -0.922587
   0.011651   40663.01   8.823295   0.00672815  -0.954370
   0.014276   39935.87   8.824056   0.00672226  -0.986476
   0.017289   39211.03   8.824799   0.00671651  -1.019039
   0.020705   38489.83   8.825529   0.00671086  -1.052018
   0.024514   37777.25   8.826238   0.00670539  -1.085189
   0.028727   37073.57   8.826919   0.00670013  -1.118534
   0.033353   36379.50   8.827580   0.00669504  -1.152026
   0.038425   35692.68   8.828227   0.00669005  -1.185783
   0.043887   35020.96   8.828851   0.00668525  -1.219412
   0.049791   34359.55   8.829467   0.00668050  -1.253151
   0.056116   33711.80   8.830074   0.00667584  -1.286820
   0.062922   33072.63   8.830670   0.00667126  -1.320668
   0.070117   32450.42   8.831241   0.00666688  -1.354233
   0.077802   31836.83   8.831791   0.00666266  -1.387944
   0.085918   31236.68   8.832307   0.00665870  -1.421521
   0.094495   30648.74   8.832797   0.00665495  -1.455019
   0.103565   30072.22   8.833266   0.00665135  -1.488477
   0.113095   29509.93   8.833719   0.00664789  -1.521719
   0.123139   28959.38   8.834161   0.00664450  -1.554877
   0.133739   28419.90   8.834600   0.00664114  -1.587983
   0.144831   27895.37   8.835032   0.00663784  -1.620777
   0.156503   27381.30   8.835447   0.00663467  -1.653504
   0.168799   26877.10   8.835847   0.00663161  -1.686191
   0.181792   26381.80   8.836237   0.00662864  -1.718892
   0.195506   25896.04   8.836620   0.00662571  -1.751560
   0.209870   25422.87   8.836997   0.00662284  -1.783972
   0.224933   24961.63   8.837378   0.00661994  -1.816159
   0.240762   24511.21   8.837761   0.00661702  -1.848174
   0.257610   24065.65   8.838142   0.00661412  -1.880424
   0.275334   23629.73   8.838513   0.00661129  -1.912551
   0.293800   23206.90   8.838866   0.00660861  -1.944270
   0.313188   22793.56   8.839200   0.00660606  -1.975825
   0.333727   22386.15   8.839518   0.00660365  -2.007473
   0.355182   21990.68   8.839828   0.00660129  -2.038747
   0.377934   21601.25   8.840136   0.00659895  -2.070094
   0.401825   21221.64   8.840437   0.00659667  -2.101194
   0.427207   20847.91   8.840732   0.00659442  -2.132355
   0.453761   20485.32   8.841016   0.00659227  -2.163118
   0.481843   20129.55   8.841290   0.00659019  -2.193827
   0.512083   19774.74   8.841559   0.00658815  -2.224989
   0.543463   19433.81   8.841822   0.00658615  -2.255463
   0.576968   19097.03   8.842085   0.00658416  -2.286095
   0.612214   18769.36   8.842343   0.00658221  -2.316418
   0.649647   18447.98   8.842596   0.00658029  -2.346673
   0.689116   18135.33   8.842840   0.00657844  -2.376610
   0.731872   17823.44   8.843074   0.00657667  -2.406980
   0.776999   17520.28   8.843281   0.00657510  -2.436989
   0.824215   17228.39   8.843466   0.00657370  -2.466360
   0.874771   16941.50   8.843641   0.00657238  -2.495706
   0.928340   16662.93   8.843812   0.00657108  -2.524679
   0.985150   16392.69   8.843986   0.00656977  -2.553258
   1.046719   16125.76   8.844175   0.00656834  -2.581967
   1.112203   15867.48   8.844381   0.00656678  -2.610223
   1.182225   15616.40   8.844598   0.00656514  -2.638147
   1.257003   15372.86   8.844819   0.00656347  -2.665673
   1.336257   15138.40   8.845036   0.00656183  -2.692590
   1.422054   14908.33   8.845249   0.00656022  -2.719406
   1.511528   14690.55   8.845446   0.00655873  -2.745167
   1.606352   14481.00   8.845625   0.00655738  -2.770304
   1.703442   14285.54   8.845780   0.00655621  -2.794066
   1.799476   14108.54   8.845917   0.00655518  -2.815861
   1.888503   13956.80   8.846033   0.00655430  -2.834763
   1.973090   13822.51   8.846137   0.00655351  -2.851663
   2.072744   13733.18   8.846191   0.00655311  -2.862980
   2.193231   13617.24   8.846298   0.00655230  -2.877814
   2.316634   13503.23   8.846405   0.00655150  -2.892527
   2.453175   13393.69   8.846514   0.00655067  -2.906786
   2.600092   13285.58   8.846627   0.00654982  -2.920979
   2.753708   13180.61   8.846743   0.00654895  -2.934874
   2.915846   13075.22   8.846864   0.00654803  -2.948940
   3.085452   12972.28   8.846990   0.00654708  -2.962798
   3.268928   12866.83   8.847128   0.00654604  -2.977115
   3.456028   12759.94   8.847274   0.00654494  -2.991752
   3.654687   12653.15   8.847423   0.00654382  -3.006502
   3.848888   12550.70   8.847570   0.00654271  -3.020771
   4.051580   12447.60   8.847716   0.00654161  -3.035247
   4.263181   12343.11   8.847862   0.00654051  -3.050037
   4.465200   12242.18   8.847997   0.00653950  -3.064435
   4.668024   12143.61   8.848125   0.00653854  -3.078606
   4.874057   12045.43   8.848245   0.00653763  -3.092830
   5.068634   11949.27   8.848357   0.00653679  -3.106864
   5.277939   11852.09   8.848467   0.00653596  -3.121160
   5.476543   11755.53   8.848576   0.00653514  -3.135480
   5.677383   11657.79   8.848685   0.00653432  -3.150092
   5.885778   11559.49   8.848795   0.00653349  -3.164913
   6.088250   11461.11   8.848903   0.00653268  -3.179870
   6.296167   11362.16   8.849012   0.00653186  -3.195041
   6.489033   11258.66   8.849122   0.00653104  -3.211048
   6.678015   11159.51   8.849226   0.00653025  -3.226519
   6.862142   11056.67   8.849333   0.00652945  -3.242709
   7.056612   10951.73   8.849440   0.00652865  -3.259382
   7.247404   10846.10   8.849544   0.00652786  -3.276323
   7.428096   10744.27   8.849648   0.00652708  -3.292813
   7.595017   10641.53   8.849753   0.00652629  -3.309611
   7.758249   10536.33   8.849863   0.00652547  -3.326978
   7.913240   10435.44   8.849965   0.00652470  -3.343795
   8.066662   10331.22   8.850069   0.00652392  -3.361335
   8.213754   10229.54   8.850164   0.00652320  -3.378612
   8.358650   10126.61   8.850255   0.00652252  -3.396272
   8.498768   10029.80   8.850335   0.00652192  -3.413039
   8.630288    9934.36   8.850408   0.00652137  -3.429720
   8.750569    9839.80   8.850474   0.00652087  -3.446402
   8.872792    9742.87   8.850536   0.00652041  -3.463661
   8.997508    9644.20   8.850599   0.00651994  -3.481407
   9.107924    9551.43   8.850657   0.00651950  -3.498257
   9.218337    9454.00   8.850716   0.00651906  -3.516127
   9.328246    9355.55   8.850777   0.00651860  -3.534371
   9.429124    9263.86   8.850831   0.00651820  -3.551536
   9.531187    9169.46   8.850887   0.00651777  -3.569386
   9.631314    9075.53   8.850944   0.00651735  -3.587330
   9.727504    8985.25   8.850998   0.00651694  -3.604750
   9.818872    8895.93   8.851050   0.00651656  -3.622158
   9.911614    8805.92   8.851104   0.00651615  -3.639879
  10.001260    8718.72   8.851158   0.00651575  -3.657219
  10.092020    8629.24   8.851214   0.00651532  -3.675197
  10.180560    8542.49   8.851269   0.00651491  -3.692804
  10.263270    8456.03   8.851322   0.00651451  -3.710528
  10.349980    8370.79   8.851373   0.00651413  -3.728180
  10.431090    8288.48   8.851419   0.00651379  -3.745391
  10.513130    8205.55   8.851463   0.00651346  -3.762904
  10.594760    8124.20   8.851505   0.00651314  -3.780256
  10.676450    8043.79   8.851547   0.00651283  -3.797577
  10.757870    7964.62   8.851588   0.00651252  -3.814800
  10.838990    7886.66   8.851629   0.00651221  -3.831929
  10.919220    7810.52   8.851671   0.00651190  -3.848824
  10.994580    7736.85   8.851712   0.00651159  -3.865329
  11.070020    7661.93   8.851753   0.00651128  -3.882274
  11.147930    7590.34   8.851793   0.00651098  -3.898621
  11.220410    7521.46   8.851832   0.00651069  -3.914496
  11.292570    7454.30   8.851870   0.00651041  -3.930115
  11.363530    7387.56   8.851907   0.00651013  -3.945774
  11.432090    7324.91   8.851943   0.00650986  -3.960605
  11.499630    7264.14   8.851978   0.00650959  -3.975114
  11.565680    7205.66   8.852013   0.00650933  -3.989192
  11.630310    7149.35   8.852047   0.00650908  -4.002854
  11.693870    7094.84   8.852081   0.00650883  -4.016184
  11.756580    7041.91   8.852114   0.00650858  -4.029226
  11.818590    6990.25   8.852147   0.00650833  -4.042048
  11.876000    6940.35   8.852179   0.00650809  -4.054527
  11.936450    6892.09   8.852212   0.00650784  -4.066680
  11.996530    6845.33   8.852244   0.00650760  -4.078541
  12.055930    6800.10   8.852277   0.00650736  -4.090089
  12.110810    6756.99   8.852307   0.00650713  -4.101167
  12.168560    6715.56   8.852337   0.00650690  -4.111882
  12.225760    6675.65   8.852366   0.00650669  -4.122266
  12.279010    6637.43   8.852394   0.00650648  -4.132266
  12.335600    6600.08   8.852421   0.00650628  -4.142098
  12.391800    6563.91   8.852446   0.00650608  -4.151668
  12.444550    6529.25   8.852472   0.00650589  -4.160893
  12.501340    6494.31   8.852498   0.00650570  -4.170238
  12.557280    6460.59   8.852522   0.00650552  -4.179308
