- M = 1.10 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.025
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   64001.06   8.783664   0.00704224  -0.126788
   0.000100   63323.49   8.786866   0.00701633  -0.148479
   0.000164   62516.67   8.788512   0.00700305  -0.172401
   0.000239   61323.02   8.790085   0.00699038  -0.207464
   0.000319   59923.36   8.791575   0.00697839  -0.249063
   0.000408   58426.58   8.792991   0.00696703  -0.294422
   0.000506   56887.75   8.794347   0.00695616  -0.342144
   0.000617   55345.67   8.795654   0.00694570  -0.391192
   0.000746   53830.94   8.796913   0.00693564  -0.440658
   0.000897   52360.83   8.798124   0.00692597  -0.489971
   0.001079   50947.75   8.799292   0.00691667  -0.538665
   0.001296   49622.06   8.800399   0.00690786  -0.585573
   0.001561   48387.40   8.801449   0.00689952  -0.630392
   0.001891   47245.69   8.802442   0.00689163  -0.672867
   0.002306   46196.75   8.803385   0.00688415  -0.712812
   0.002837   45236.68   8.804286   0.00687701  -0.750196
   0.003522   44356.24   8.805161   0.00687009  -0.785216
   0.004409   43540.03   8.806024   0.00686327  -0.818342
   0.005548   42768.63   8.806882   0.00685649  -0.850254
   0.006990   42022.04   8.807738   0.00684974  -0.881702
   0.008779   41283.58   8.808578   0.00684312  -0.913341
   0.010933   40549.01   8.809388   0.00683674  -0.945340
   0.013446   39821.50   8.810168   0.00683060  -0.977570
   0.016331   39099.50   8.810926   0.00682464  -1.010114
   0.019629   38378.36   8.811674   0.00681877  -1.043201
   0.023332   37663.27   8.812404   0.00681304  -1.076605
   0.027423   36959.67   8.813107   0.00680753  -1.110068
   0.031919   36266.05   8.813788   0.00680220  -1.143660
   0.036826   35583.14   8.814450   0.00679701  -1.177346
   0.042136   34912.40   8.815092   0.00679199  -1.211046
   0.047882   34251.10   8.815722   0.00678707  -1.244896
   0.054052   33601.94   8.816342   0.00678222  -1.278758
   0.060634   32966.47   8.816947   0.00677750  -1.312530
   0.067646   32342.93   8.817532   0.00677293  -1.346288
   0.075095   31730.81   8.818095   0.00676855  -1.380043
   0.082948   31132.49   8.818626   0.00676441  -1.413644
   0.091209   30547.99   8.819128   0.00676050  -1.447070
   0.099903   29976.35   8.819609   0.00675676  -1.480367
   0.109076   29415.27   8.820076   0.00675313  -1.513657
   0.118744   28864.92   8.820532   0.00674958  -1.546924
   0.128884   28327.42   8.820982   0.00674609  -1.580027
   0.139490   27803.48   8.821425   0.00674265  -1.612902
   0.150712   27286.14   8.821855   0.00673931  -1.645959
   0.162397   26783.43   8.822266   0.00673612  -1.678674
   0.174658   26290.97   8.822665   0.00673303  -1.711312
   0.187503   25809.21   8.823055   0.00673001  -1.743829
   0.200959   25338.33   8.823440   0.00672703  -1.776201
   0.215038   24878.38   8.823828   0.00672402  -1.808412
   0.229812   24428.04   8.824221   0.00672098  -1.840540
   0.245274   23987.81   8.824611   0.00671796  -1.872522
   0.261442   23557.04   8.824991   0.00671502  -1.904381
   0.278347   23135.61   8.825357   0.00671219  -1.936106
   0.296091   22721.40   8.825705   0.00670950  -1.967838
   0.314638   22315.77   8.826032   0.00670698  -1.999457
   0.334170   21916.39   8.826352   0.00670451  -2.031149
   0.354531   21527.06   8.826665   0.00670209  -2.062599
   0.376115   21141.39   8.826975   0.00669970  -2.094314
   0.398340   20770.32   8.827273   0.00669741  -2.125373
   0.421655   20406.41   8.827563   0.00669517  -2.156369
   0.446374   20045.60   8.827846   0.00669299  -2.187642
   0.472009   19695.45   8.828116   0.00669091  -2.218526
   0.498962   19351.09   8.828386   0.00668883  -2.249437
   0.527064   19015.18   8.828651   0.00668678  -2.280123
   0.556727   18683.53   8.828914   0.00668476  -2.310951
   0.587660   18360.15   8.829171   0.00668279  -2.341539
   0.619522   18048.55   8.829416   0.00668090  -2.371520
   0.652705   17744.75   8.829647   0.00667913  -2.401240
   0.687966   17442.59   8.829856   0.00667752  -2.431284
   0.724602   17148.94   8.830044   0.00667607  -2.460968
   0.762398   16865.62   8.830218   0.00667473  -2.490082
   0.802206   16586.91   8.830390   0.00667341  -2.519201
   0.843761   16315.43   8.830565   0.00667206  -2.548045
   0.887438   16049.54   8.830753   0.00667062  -2.576775
   0.932950   15791.57   8.830958   0.00666905  -2.605129
   0.979643   15544.74   8.831169   0.00666743  -2.632709
   1.028445   15304.02   8.831385   0.00666577  -2.660037
   1.079275   15069.95   8.831600   0.00666412  -2.687026
   1.131949   14843.32   8.831806   0.00666254  -2.713555
   1.186169   14625.16   8.831998   0.00666107  -2.739469
   1.240838   14418.98   8.832168   0.00665976  -2.764303
   1.294879   14227.27   8.832314   0.00665865  -2.787701
   1.347101   14052.48   8.832439   0.00665768  -2.809301
   1.393247   13905.66   8.832543   0.00665689  -2.827650
   1.435838   13776.18   8.832635   0.00665618  -2.843993
   1.477768   13654.07   8.832723   0.00665551  -2.859548
   1.524843   13533.16   8.832801   0.00665491  -2.875078
   1.578200   13421.71   8.832889   0.00665424  -2.889530
   1.634434   13310.96   8.832980   0.00665354  -2.904016
   1.697664   13203.34   8.833074   0.00665282  -2.918211
   1.766617   13098.62   8.833171   0.00665208  -2.932141
   1.840176   12995.38   8.833272   0.00665130  -2.945989
   1.914948   12895.16   8.833379   0.00665048  -2.959545
   1.994253   12793.75   8.833495   0.00664960  -2.973376
   2.075138   12695.12   8.833612   0.00664870  -2.986938
   2.158528   12595.85   8.833734   0.00664777  -3.000696
   2.243437   12496.15   8.833856   0.00664683  -3.014625
   2.332180   12396.25   8.833981   0.00664588  -3.028693
   2.421917   12295.51   8.834102   0.00664495  -3.042989
   2.512140   12198.70   8.834214   0.00664410  -3.056833
   2.601179   12099.36   8.834319   0.00664329  -3.071142
   2.693668   11997.93   8.834421   0.00664252  -3.085869
   2.786380   11901.16   8.834511   0.00664182  -3.100027
   2.877086   11805.51   8.834599   0.00664115  -3.114133
   2.970241   11708.70   8.834687   0.00664048  -3.128525
   3.070512   11610.93   8.834776   0.00663980  -3.143180
   3.173601   11512.99   8.834864   0.00663913  -3.157984
   3.286786   11408.90   8.834959   0.00663840  -3.173856
   3.397162   11304.97   8.835052   0.00663769  -3.189848
   3.506730   11203.54   8.835144   0.00663699  -3.205596
   3.623100   11096.18   8.835241   0.00663625  -3.222420
   3.741043   10989.28   8.835337   0.00663551  -3.239334
   3.848883   10888.47   8.835428   0.00663481  -3.255434
   3.964297   10783.11   8.835523   0.00663409  -3.272419
   4.074439   10681.21   8.835620   0.00663335  -3.289011
   4.184471   10579.55   8.835720   0.00663259  -3.305724
   4.304938   10474.16   8.835823   0.00663180  -3.323220
   4.419074   10375.74   8.835919   0.00663107  -3.339715
   4.533842   10270.95   8.836018   0.00663031  -3.357448
   4.645839   10170.59   8.836107   0.00662963  -3.374596
   4.752729   10074.22   8.836189   0.00662901  -3.391215
   4.856233    9977.17   8.836265   0.00662842  -3.408108
   4.959051    9881.10   8.836335   0.00662789  -3.424987
   5.066467    9783.83   8.836399   0.00662740  -3.442237
   5.175658    9688.56   8.836461   0.00662693  -3.459297
   5.288802    9588.89   8.836523   0.00662646  -3.477322
   5.391121    9495.24   8.836581   0.00662601  -3.494431
   5.492286    9400.96   8.836639   0.00662557  -3.511823
   5.596291    9308.31   8.836694   0.00662515  -3.529084
   5.704350    9212.26   8.836753   0.00662470  -3.547161
   5.803662    9120.56   8.836808   0.00662428  -3.564596
