- M = 1.05 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.030
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   62001.03   8.691087   0.00765416  -0.109568
   0.000100   61586.40   8.694733   0.00762210  -0.124870
   0.000161   61026.03   8.696455   0.00760700  -0.142471
   0.000234   60068.67   8.698117   0.00759247  -0.171601
   0.000314   58844.76   8.699748   0.00757822  -0.208993
   0.000400   57469.00   8.701309   0.00756461  -0.251651
   0.000496   56008.51   8.702813   0.00755153  -0.297873
   0.000601   54519.49   8.704260   0.00753896  -0.346129
   0.000719   53033.74   8.705652   0.00752688  -0.395520
   0.000854   51568.96   8.706997   0.00751524  -0.445519
   0.001009   50141.36   8.708292   0.00750404  -0.495584
   0.001192   48760.69   8.709542   0.00749325  -0.545339
   0.001410   47431.61   8.710748   0.00748286  -0.594553
   0.001670   46181.27   8.711890   0.00747302  -0.642103
   0.001985   45012.40   8.712971   0.00746373  -0.687718
   0.002371   43926.09   8.713995   0.00745493  -0.731182
   0.002852   42920.99   8.714973   0.00744655  -0.772370
   0.003459   41992.68   8.715912   0.00743850  -0.811294
   0.004231   41133.72   8.716821   0.00743071  -0.848106
   0.005214   40332.63   8.717710   0.00742311  -0.883161
   0.006462   39574.79   8.718585   0.00741564  -0.916987
   0.008028   38844.29   8.719441   0.00740834  -0.950208
   0.009959   38128.64   8.720276   0.00740122  -0.983347
   0.012276   37424.80   8.721090   0.00739428  -1.016529
   0.014990   36731.36   8.721885   0.00738752  -1.049813
   0.018109   36048.13   8.722661   0.00738092  -1.083207
   0.021673   35369.70   8.723424   0.00737445  -1.116975
   0.025667   34701.04   8.724166   0.00736814  -1.150873
   0.030082   34045.02   8.724887   0.00736203  -1.184750
   0.034938   33399.33   8.725588   0.00735610  -1.218713
   0.040229   32764.90   8.726262   0.00735039  -1.252703
   0.045979   32140.39   8.726919   0.00734483  -1.286792
   0.052169   31528.40   8.727557   0.00733943  -1.320826
   0.058786   30930.17   8.728173   0.00733424  -1.354720
   0.065871   30342.17   8.728769   0.00732920  -1.388659
   0.073424   29764.62   8.729344   0.00732435  -1.422620
   0.081408   29200.24   8.729894   0.00731972  -1.456424
   0.089855   28647.71   8.730423   0.00731526  -1.490140
   0.098795   28105.53   8.730936   0.00731094  -1.523845
   0.108168   27577.71   8.731433   0.00730676  -1.557276
   0.118051   27060.48   8.731920   0.00730266  -1.590654
   0.128424   26555.39   8.732400   0.00729863  -1.623865
   0.139367   26059.05   8.732866   0.00729471  -1.657109
   0.150859   25573.40   8.733316   0.00729093  -1.690239
   0.162913   25098.40   8.733752   0.00728728  -1.723244
   0.175583   24632.79   8.734177   0.00728371  -1.756199
   0.188802   24179.97   8.734593   0.00728023  -1.788846
   0.202737   23734.71   8.735009   0.00727674  -1.821550
   0.217354   23299.72   8.735435   0.00727317  -1.854108
   0.232659   22874.79   8.735863   0.00726959  -1.886511
   0.248616   22461.31   8.736283   0.00726607  -1.918619
   0.265662   22048.36   8.736697   0.00726261  -1.951268
   0.283138   21652.30   8.737081   0.00725940  -1.983142
   0.301596   21260.46   8.737441   0.00725640  -2.015226
   0.320702   20880.91   8.737779   0.00725357  -2.046858
   0.340897   20505.87   8.738110   0.00725080  -2.078674
   0.361922   20140.76   8.738431   0.00724813  -2.110204
   0.383948   19783.51   8.738743   0.00724552  -2.141606
   0.406857   19436.26   8.739047   0.00724299  -2.172673
   0.431033   19093.76   8.739345   0.00724050  -2.203856
   0.456238   18759.66   8.739632   0.00723811  -2.234808
   0.482430   18434.54   8.739909   0.00723580  -2.265456
   0.509867   18115.64   8.740179   0.00723355  -2.296041
   0.538703   17801.96   8.740445   0.00723134  -2.326650
   0.568949   17494.24   8.740707   0.00722916  -2.357203
   0.600213   17196.82   8.740963   0.00722703  -2.387247
   0.632985   16905.34   8.741214   0.00722494  -2.417195
   0.667712   16616.53   8.741449   0.00722298  -2.447364
