- M = 1.20 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.060
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68000.96   9.022114   0.00558959  -0.222138
   0.000100   66744.05   9.023767   0.00557897  -0.256201
   0.000189   65186.94   9.025063   0.00557065  -0.298505
   0.000290   63435.35   9.026254   0.00556301  -0.347013
   0.000408   61667.39   9.027389   0.00555575  -0.397251
   0.000550   59985.34   9.028463   0.00554889  -0.446367
   0.000723   58443.90   9.029471   0.00554245  -0.492599
   0.000942   57052.03   9.030426   0.00553636  -0.535425
   0.001227   55811.98   9.031341   0.00553053  -0.574516
   0.001608   54719.00   9.032232   0.00552486  -0.609764
   0.002124   53756.17   9.033106   0.00551930  -0.641477
   0.002823   52892.78   9.033967   0.00551383  -0.670466
   0.003756   52088.45   9.034829   0.00550837  -0.697947
   0.004965   51303.96   9.035705   0.00550281  -0.725186
   0.006480   50511.01   9.036599   0.00549715  -0.753140
   0.008307   49702.31   9.037492   0.00549150  -0.782071
   0.010433   48883.38   9.038359   0.00548603  -0.811798
   0.012868   48054.93   9.039179   0.00548085  -0.842311
   0.015618   47222.07   9.039955   0.00547595  -0.873459
   0.018707   46386.22   9.040710   0.00547120  -0.905238
   0.022151   45550.65   9.041442   0.00546658  -0.937548
   0.025957   44718.78   9.042152   0.00546212  -0.970276
   0.030120   43895.25   9.042834   0.00545783  -1.003248
   0.034640   43082.14   9.043477   0.00545379  -1.036372
   0.039518   42281.48   9.044088   0.00544996  -1.069572
   0.044762   41493.90   9.044676   0.00544627  -1.102824
   0.050390   40718.92   9.045249   0.00544268  -1.136149
   0.056382   39960.06   9.045808   0.00543917  -1.169388
   0.062818   39210.03   9.046368   0.00543567  -1.202864
   0.069662   38474.69   9.046919   0.00543222  -1.236303
   0.076881   37758.06   9.047453   0.00542889  -1.269499
   0.084549   37053.68   9.047971   0.00542565  -1.302730
   0.092637   36364.86   9.048466   0.00542256  -1.335823
   0.101134   35692.90   9.048934   0.00541964  -1.368691
   0.110160   35030.07   9.049380   0.00541686  -1.401700
   0.119638   34383.33   9.049798   0.00541425  -1.434490
   0.129585   33752.58   9.050196   0.00541177  -1.467052
   0.140101   33133.32   9.050584   0.00540935  -1.499608
   0.151218   32525.82   9.050968   0.00540696  -1.532140
   0.162956   31931.00   9.051356   0.00540455  -1.564590
   0.175288   31351.11   9.051739   0.00540216  -1.596812
   0.188267   30784.80   9.052116   0.00539982  -1.628856
   0.202052   30227.44   9.052490   0.00539749  -1.660969
   0.216669   29679.69   9.052858   0.00539521  -1.693105
   0.232256   29139.26   9.053220   0.00539296  -1.725391
   0.248609   28614.05   9.053572   0.00539078  -1.757339
   0.265734   28104.33   9.053909   0.00538868  -1.788901
   0.283850   27604.71   9.054225   0.00538673  -1.820376
   0.303088   27113.93   9.054523   0.00538487  -1.851837
   0.323310   26636.31   9.054806   0.00538312  -1.882994
   0.345041   26162.58   9.055085   0.00538139  -1.914447
   0.367952   25702.36   9.055359   0.00537970  -1.945551
   0.392303   25252.39   9.055642   0.00537795  -1.976516
   0.418170   24813.78   9.055946   0.00537606  -2.007258
   0.446026   24380.78   9.056267   0.00537408  -2.038161
   0.475624   23959.44   9.056589   0.00537208  -2.068767
   0.507246   23547.27   9.056903   0.00537014  -2.099225
   0.540982   23144.57   9.057198   0.00536832  -2.129486
   0.577026   22750.45   9.057462   0.00536669  -2.159586
   0.616033   22360.98   9.057704   0.00536519  -2.189825
   0.657983   21979.81   9.057934   0.00536377  -2.219923
   0.703276   21606.23   9.058157   0.00536240  -2.249925
   0.752064   21242.15   9.058373   0.00536106  -2.279664
   0.805197   20884.89   9.058590   0.00535972  -2.309346
   0.863542   20533.14   9.058811   0.00535836  -2.339074
   0.927524   20188.65   9.059032   0.00535700  -2.368687
   0.997154   19854.82   9.059247   0.00535567  -2.397868
