- M = 1.20 Mo
- log q(H) = -6.0
- log q(He) = -3.0
- X(O) from Bauer (2023)
- X(Ne) = 0.030
- No distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   68001.01   8.995956   0.00576049  -0.195979
   0.000100   67501.32   8.996644   0.00575593  -0.209479
   0.000200   66786.48   8.997769   0.00574847  -0.229099
   0.000400   65382.99   8.999192   0.00573906  -0.267418
   0.000672   63866.38   9.000541   0.00573016  -0.309536
   0.001005   62535.25   9.001708   0.00572246  -0.347293
   0.001437   61363.72   9.002777   0.00571543  -0.381214
   0.002015   60322.21   9.003785   0.00570880  -0.411960
   0.002786   59379.55   9.004769   0.00570233  -0.440306
   0.003794   58489.88   9.005764   0.00569581  -0.467526
   0.005063   57612.67   9.006785   0.00568911  -0.494797
   0.006563   56736.49   9.007803   0.00568245  -0.522437
   0.008244   55867.08   9.008784   0.00567604  -0.550245
   0.010093   54990.84   9.009712   0.00566998  -0.578635
   0.012105   54106.44   9.010596   0.00566421  -0.607685
   0.014271   53221.94   9.011461   0.00565857  -0.637183
   0.016581   52338.13   9.012307   0.00565306  -0.667119
   0.019035   51458.15   9.013135   0.00564768  -0.697403
   0.021621   50585.53   9.013937   0.00564246  -0.727917
   0.024335   49722.16   9.014700   0.00563751  -0.758585
   0.027182   48868.57   9.015433   0.00563275  -0.789399
   0.030156   48028.93   9.016142   0.00562816  -0.820215
   0.033263   47201.28   9.016833   0.00562368  -0.851102
   0.036503   46387.74   9.017514   0.00561928  -0.881985
   0.039909   45582.49   9.018202   0.00561483  -0.913094
   0.043433   44796.49   9.018876   0.00561047  -0.943985
   0.047117   44020.33   9.019538   0.00560619  -0.975010
   0.050956   43255.58   9.020180   0.00560205  -1.006096
   0.054913   42509.27   9.020787   0.00559814  -1.036937
   0.059037   41772.43   9.021365   0.00559442  -1.067890
   0.063289   41053.08   9.021911   0.00559090  -1.098612
   0.067728   40342.28   9.022436   0.00558752  -1.129479
   0.072318   39646.92   9.022942   0.00558427  -1.160188
   0.077174   38952.15   9.023448   0.00558102  -1.191406
   0.082170   38277.46   9.023946   0.00557782  -1.222258
   0.087374   37613.51   9.024435   0.00557467  -1.253145
   0.092738   36967.04   9.024912   0.00557162  -1.283737
   0.098344   36328.68   9.025381   0.00556861  -1.314467
   0.104200   35698.77   9.025841   0.00556566  -1.345312
   0.110254   35083.39   9.026288   0.00556280  -1.375966
   0.116546   34479.26   9.026728   0.00555998  -1.406581
   0.123079   33886.03   9.027148   0.00555729  -1.437150
   0.129865   33302.69   9.027537   0.00555480  -1.467705
   0.136926   32728.85   9.027902   0.00555247  -1.498263
   0.144202   32170.48   9.028247   0.00555026  -1.528502
   0.151771   31622.91   9.028584   0.00554811  -1.558661
   0.159607   31089.01   9.028922   0.00554595  -1.588579
   0.167785   30565.22   9.029284   0.00554364  -1.618458
   0.176396   30046.55   9.029673   0.00554116  -1.648579
   0.185480   29531.36   9.030078   0.00553858  -1.679029
   0.194776   29033.28   9.030474   0.00553605  -1.708974
   0.204440   28542.91   9.030854   0.00553363  -1.738945
   0.214536   28057.34   9.031206   0.00553139  -1.769105
   0.224943   27582.82   9.031524   0.00552936  -1.799054
   0.235647   27120.68   9.031825   0.00552745  -1.828707
   0.246817   26664.35   9.032117   0.00552559  -1.858478
   0.258352   26218.45   9.032399   0.00552380  -1.888055
   0.270431   25776.82   9.032678   0.00552203  -1.917845
   0.283021   25341.52   9.032953   0.00552028  -1.947707
   0.296267   24908.49   9.033222   0.00551857  -1.977916
   0.309719   24492.30   9.033477   0.00551694  -2.007443
   0.323805   24080.03   9.033729   0.00551535  -2.037185
   0.338308   23678.38   9.033974   0.00551379  -2.066651
   0.354889   23255.26   9.034235   0.00551213  -2.098235
   0.374672   22830.93   9.034515   0.00551036  -2.130505
   0.396301   22442.34   9.034790   0.00550861  -2.160602
   0.422080   22056.35   9.035075   0.00550680  -2.191025
   0.449173   21695.99   9.035340   0.00550513  -2.219906
   0.478176   21339.64   9.035604   0.00550345  -2.248940
   0.508567   20991.31   9.035867   0.00550178  -2.277793
   0.540167   20645.63   9.036133   0.00550010  -2.306906
   0.573004   20304.39   9.036393   0.00549845  -2.336118
   0.606777   19970.69   9.036631   0.00549695  -2.365144
   0.641548   19642.36   9.036857   0.00549552  -2.394167
   0.676882   19321.28   9.037071   0.00549417  -2.423011
   0.714030   19004.96   9.037279   0.00549285  -2.451896
   0.752022   18690.68   9.037481   0.00549157  -2.481065
   0.793415   18379.56   9.037682   0.00549030  -2.510426
   0.835368   18078.55   9.037881   0.00548904  -2.539311
   0.879765   17779.59   9.038088   0.00548774  -2.568485
   0.924317   17486.10   9.038294   0.00548644  -2.597607
   0.968907   17204.48   9.038494   0.00548517  -2.626012
   1.014569   16926.04   9.038686   0.00548396  -2.654549
   1.061319   16651.20   9.038866   0.00548282  -2.683168
   1.109219   16380.89   9.039033   0.00548177  -2.711768
   1.155482   16122.10   9.039188   0.00548079  -2.739586
   1.202826   15866.68   9.039344   0.00547980  -2.767484
   1.251842   15614.49   9.039505   0.00547879  -2.795478
   1.301214   15373.74   9.039661   0.00547780  -2.822627
   1.349747   15135.60   9.039819   0.00547681  -2.849905
   1.399955   14909.94   9.039970   0.00547585  -2.876151
   1.447123   14698.73   9.040113   0.00547496  -2.901077
   1.488838   14509.04   9.040239   0.00547416  -2.923769
   1.526781   14343.90   9.040348   0.00547347  -2.943763
   1.559619   14199.06   9.040445   0.00547286  -2.961491
   1.590874   14063.54   9.040539   0.00547227  -2.978245
   1.622217   13930.63   9.040633   0.00547168  -2.994834
   1.652662   13804.77   9.040723   0.00547111  -3.010691
   1.683110   13681.41   9.040812   0.00547055  -3.026374
   1.712436   13564.17   9.040897   0.00547002  -3.041408
   1.742656   13442.49   9.040983   0.00546948  -3.057149
   1.771378   13323.17   9.041067   0.00546894  -3.072721
   1.798434   13209.92   9.041148   0.00546844  -3.087632
   1.828735   13094.23   9.041229   0.00546793  -3.102993
   1.857797   12978.64   9.041308   0.00546743  -3.118476
   1.889139   12861.90   9.041386   0.00546694  -3.134251
   1.919374   12744.17   9.041464   0.00546645  -3.150302
   1.948895   12629.08   9.041538   0.00546598  -3.166135
   1.977816   12517.38   9.041608   0.00546554  -3.181639
   2.006892   12407.08   9.041677   0.00546510  -3.197083
   2.039035   12294.98   9.041748   0.00546466  -3.212922
   2.069225   12184.80   9.041817   0.00546423  -3.228628
   2.099347   12074.05   9.041886   0.00546379  -3.244558
   2.132714   11960.73   9.041957   0.00546334  -3.261010
   2.164279   11848.40   9.042027   0.00546291  -3.277473
