- M = 1.00 Mo
- log q(H) = -10.0
- log q(He) = -6.0
- X(O) = 0.50
- X(Ne) = 0.030
- Full distillation
 
    t (Gyr)     Teff      log g        R/Ro      log L/Lo
  --------------------------------------------------------
   0.000000   57001.02   8.606670   0.00823212  -0.192405
   0.000100   56831.50   8.609523   0.00820513  -0.200432
   0.000174   56433.75   8.611145   0.00818981  -0.214255
   0.000264   55687.24   8.612737   0.00817482  -0.238980
   0.000366   54637.86   8.614398   0.00815920  -0.273689
   0.000477   53420.49   8.616018   0.00814399  -0.314452
   0.000598   52107.81   8.617584   0.00812932  -0.359239
   0.000731   50753.13   8.619095   0.00811519  -0.406509
   0.000880   49395.74   8.620546   0.00810165  -0.455054
   0.001049   48051.94   8.621946   0.00808861  -0.504368
   0.001243   46732.97   8.623298   0.00807602  -0.554071
   0.001466   45463.91   8.624589   0.00806403  -0.603188
   0.001730   44241.34   8.625830   0.00805251  -0.651783
   0.002047   43069.76   8.627025   0.00804145  -0.699601
   0.002426   41969.54   8.628161   0.00803094  -0.745690
   0.002886   40941.32   8.629245   0.00802092  -0.789864
   0.003453   39983.38   8.630284   0.00801133  -0.832032
   0.004157   39092.10   8.631283   0.00800212  -0.872193
   0.005039   38261.22   8.632250   0.00799322  -0.910480
   0.006148   37481.69   8.633185   0.00798461  -0.947175
   0.007535   36742.56   8.634092   0.00797628  -0.982680
   0.009257   36032.17   8.634973   0.00796819  -1.017477
   0.011366   35340.32   8.635836   0.00796028  -1.052020
   0.013880   34665.95   8.636676   0.00795259  -1.086329
   0.016814   34007.10   8.637492   0.00794512  -1.120479
   0.020199   33358.22   8.638290   0.00793782  -1.154744
   0.024030   32722.16   8.639068   0.00793072  -1.188966
   0.028322   32096.99   8.639829   0.00792378  -1.223237
   0.033087   31482.03   8.640567   0.00791704  -1.257582
   0.038339   30876.33   8.641283   0.00791052  -1.292046
   0.044028   30285.60   8.641972   0.00790425  -1.326293
   0.050213   29704.40   8.642641   0.00789817  -1.360623
   0.056884   29134.06   8.643288   0.00789228  -1.394950
   0.064007   28577.22   8.643913   0.00788660  -1.429099
   0.071630   28029.78   8.644518   0.00788112  -1.463304
   0.079732   27493.92   8.645100   0.00787583  -1.497419
   0.088280   26971.86   8.645661   0.00787075  -1.531284
   0.097320   26461.01   8.646207   0.00786580  -1.565047
   0.106929   25957.76   8.646743   0.00786095  -1.598940
   0.117005   25468.01   8.647266   0.00785622  -1.632552
   0.127635   24987.86   8.647779   0.00785158  -1.666129
   0.138832   24517.24   8.648278   0.00784707  -1.699657
   0.150550   24058.83   8.648760   0.00784271  -1.732928
   0.162828   23611.25   8.649229   0.00783848  -1.766020
   0.175700   23174.07   8.649687   0.00783435  -1.798943
   0.189228   22745.43   8.650136   0.00783030  -1.831826
   0.203489   22324.31   8.650592   0.00782620  -1.864745
   0.218464   21912.80   8.651052   0.00782205  -1.897526
   0.234219   21508.69   8.651509   0.00781794  -1.930319
   0.250700   21113.86   8.651953   0.00781394  -1.962948
   0.267777   20731.15   8.652373   0.00781016  -1.995145
   0.285773   20353.49   8.652769   0.00780660  -2.027479
   0.304587   19984.02   8.653141   0.00780326  -2.059675
   0.324327   19621.58   8.653501   0.00780003  -2.091830
   0.344915   19268.04   8.653847   0.00779692  -2.123763
   0.366261   18925.29   8.654182   0.00779391  -2.155277
   0.388590   18590.31   8.654509   0.00779098  -2.186628
   0.412092   18260.62   8.654831   0.00778809  -2.218035
   0.436832   17936.10   8.655146   0.00778527  -2.249500
   0.462279   17623.19   8.655443   0.00778261  -2.280370
   0.488958   17315.80   8.655730   0.00778004  -2.311226
   0.517037   17012.76   8.656011   0.00777751  -2.342178
   0.546094   16719.08   8.656286   0.00777506  -2.372702
   0.576468   16431.80   8.656559   0.00777262  -2.403083
   0.608394   16149.52   8.656832   0.00777017  -2.433459
   0.641419   15876.20   8.657092   0.00776785  -2.463371
   0.675694   15610.58   8.657338   0.00776565  -2.492927
   0.711651   15349.82   8.657575   0.00776353  -2.522427
   0.749328   15094.26   8.657805   0.00776147  -2.551824
   0.788736   14844.35   8.658031   0.00775945  -2.581052
   0.828997   14605.45   8.658252   0.00775748  -2.609457
   0.870466   14375.16   8.658472   0.00775551  -2.637287
   0.913699   14150.58   8.658700   0.00775348  -2.664868
   0.956071   13944.00   8.658918   0.00775153  -2.690635
   0.996685   13757.28   8.659120   0.00774973  -2.714256
   1.033365   13597.19   8.659298   0.00774815  -2.734767
   1.065832   13461.75   8.659451   0.00774678  -2.752310
   1.096569   13338.73   8.659590   0.00774553  -2.768398
   1.127709   13219.00   8.659726   0.00774432  -2.784198
   1.157717   13107.91   8.659851   0.00774321  -2.798983
   1.188251   12999.04   8.659971   0.00774214  -2.813591
   1.219153   12892.87   8.660085   0.00774113  -2.827951
   1.250512   12789.05   8.660193   0.00774016  -2.842106
   1.282853   12685.83   8.660299   0.00773922  -2.856289
   1.315292   12586.08   8.660400   0.00773832  -2.870103
   1.349994   12483.42   8.660503   0.00773740  -2.884434
   1.385660   12381.96   8.660605   0.00773650  -2.898713
   1.423790   12277.78   8.660708   0.00773557  -2.913495
   1.462689   12175.75   8.660811   0.00773466  -2.928094
   1.504254   12071.22   8.660918   0.00773371  -2.943179
   1.545675   11971.30   8.661023   0.00773277  -2.957724
   1.590295   11868.06   8.661137   0.00773175  -2.972885
   1.634030   11771.05   8.661250   0.00773075  -2.987255
   1.680717   11671.69   8.661372   0.00772966  -3.002103
   1.728253   11574.69   8.661498   0.00772854  -3.016726
   1.777165   11478.93   8.661628   0.00772738  -3.031288
   1.827941   11383.45   8.661761   0.00772620  -3.045932
   1.881505   11286.75   8.661898   0.00772498  -3.060889
   1.937904   11189.01   8.662038   0.00772374  -3.076137
   1.995753   11092.62   8.662174   0.00772253  -3.091304
   2.056567   10995.27   8.662310   0.00772132  -3.106751
   2.146567   10858.97   8.662492   0.00771970  -3.128602
   2.236567   10737.06   8.662644   0.00771835  -3.148367
   2.326567   10640.81   8.662761   0.00771731  -3.164128
   2.416567   10572.08   8.662848   0.00771654  -3.175471
   2.506567   10532.51   8.662905   0.00771584  -3.182028
   2.596567   10510.34   8.662945   0.00771549  -3.185727
   2.686567   10492.58   8.662980   0.00771518  -3.188700
   2.776567   10483.62   8.663006   0.00771495  -3.190211
   2.866567   10481.06   8.663026   0.00771477  -3.190654
   2.956567   10472.29   8.663052   0.00771454  -3.192135
