 #(CO-core: New calculations, following Camisassa et al. 2017, ONe-core: Camisassa et al. 2019)
  #Log(g) log(teff) mWD    tcool(gyr)  R(Rsun)   core   log(L)   TpreWD(gyr)  Mzams     Mbol      G3        Bp3      Rp3         u         g       r          i       z         g         r         i         z         y         U         B         V         R         I         J         H         K         FUV       NUV
  7.70   4.820   0.553     0.00084    0.017401   CO     0.716     9.67599   1.873    2.9512    8.2586    8.0699    8.6159    7.5083    7.9971    8.5498    8.9289    9.3020    8.0722    8.5557    8.9555    9.2500    9.4654    6.7255    7.9977    8.3296    8.4683    8.6625    9.1024    9.2361    9.3496    6.0586    6.6684
  7.70   4.800   0.546     0.00102    0.017287   CO     0.630    11.57633   1.738    3.1641    8.3121    8.1245    8.6669    7.5623    8.0525    8.6022    8.9799    9.3524    8.1270    8.6081    9.0062    9.3004    9.5155    6.7798    8.0534    8.3827    8.5203    8.7132    9.1519    9.2846    9.3978    6.1199    6.7254
  7.70   4.780   0.541     0.00122    0.017200   CO     0.546    12.80542   1.623    3.3749    8.3605    8.1738    8.7129    7.6111    8.1028    8.6494    9.0259    9.3978    8.1766    8.6554    9.0520    9.3458    9.5606    6.8289    8.1039    8.4306    8.5672    8.7590    9.1965    9.3282    9.4412    6.1757    6.7770
  7.70   4.760   0.537     0.00143    0.017159   CO     0.463    12.80532   1.543    3.5818    8.4169    8.2310    8.7657    7.6747    8.1600    8.7024    9.0787    9.4483    8.2334    8.7085    9.1046    9.3963    9.6118    6.8927    8.1637    8.4842    8.6204    8.8101    9.2458    9.3760    9.4888    6.2567    6.8481
  7.70   4.740   0.534     0.00167    0.017109   CO     0.380    12.80522   1.459    3.7891    8.4742    8.2917    8.8186    7.7397    8.2206    8.7579    9.1315    9.5003    8.2923    8.7639    9.1587    9.4483    9.6622    6.9577    8.2270    8.5413    8.6759    8.8625    9.2948    9.4236    9.5328    6.3405    6.9214
  7.70   4.720   0.530     0.00195    0.017052   CO     0.297    12.80512   1.373    3.9964    8.5286    8.3455    8.8730    7.7931    8.2750    8.8116    9.1856    9.5546    8.3460    8.8177    9.2121    9.5027    9.7178    7.0115    8.2831    8.5927    8.7295    8.9165    9.3503    9.4787    9.5898    6.3832    6.9683
  7.70   4.700   0.527     0.00228    0.016990   CO     0.214    12.80502   1.287    4.2039    8.5815    8.3977    8.9259    7.8449    8.3279    8.8637    9.2381    9.6073    8.3981    8.8699    9.2639    9.5555    9.7718    7.0637    8.3376    8.6426    8.7815    8.9689    9.4042    9.5323    9.6452    6.4249    7.0139
  7.70   4.680   0.523     0.00265    0.016927   CO     0.132    12.80491   1.202    4.4112    8.7287    8.5508    9.0616    8.0209    8.4816    9.0061    9.3732    9.7401    8.5463    9.0106    9.3999    9.6882    9.9042    7.2400    8.4972    8.7831    8.9225    9.1030    9.5324    9.6620    9.7741    6.6169    7.2039
  7.70   4.660   0.520     0.00307    0.016862   CO     0.049    12.80481   1.116    4.6186    8.8738    8.6996    9.2008    8.1869    8.6299    9.1481    9.5119    9.8781    8.6905    9.1522    9.5381    9.8263   10.0437    7.4061    8.6525    8.9201    9.0640    9.2405    9.6708    9.8034    9.9182    6.7700    7.3701
  7.70   4.640   0.516     0.00356    0.016796   CO    -0.034    12.80471   1.030    4.8260    8.9808    8.8110    9.2991    8.3159    8.7411    9.2498    9.6098    9.9737    8.7982    9.2535    9.6358    9.9211   10.1372    7.5347    8.7679    9.0247    9.1643    9.3368    9.7598    9.8895   10.0030    6.9400    7.5168
