  #       Teff 			 log(L/Lsun) 		 tcool(gyr) 			logg(CGS)		  R/R_sun		        G3      		Bp3    			Rp3     		 u      		 g       			r       		i      			 z     			  g      			 r      		 i       		z     			  y    			  U      			 B    			   V      		 R      		 I       			J      			 H       		K     			 FUV     			NUV
   75135.814727777746       0.91908100000000004        4.7663608904485955E-004   7.7439051000000001        1.6989500000000001E-002   8.1773662049660878        7.9858254605477548        8.5444260975483139        7.3758923704348973        7.9118129396368815        8.4733961512572016        8.8724386184591850        9.2329668419666469        7.9878129396368820        8.4803842925680719        8.8844260975483103        9.1809668419666473        9.3984560438394205        6.6338679908348972        7.9098101562913250        8.2508554068388662        8.3929097327299793        8.5919521999319635        9.0389849295686311        9.1755256739869644        9.2930692017508534        5.9200898602966383        6.5562702002650539     
   74660.862037180210       0.90540500000000002        4.9128983691139186E-004   7.7465643999999996        1.6937600000000001E-002   8.1900002176541804        7.9986019590430253        8.5567014224839255        7.3888072583420623        7.9245955538999802        8.4858508200690537        8.8847078276269684        9.2450996810950770        8.0005955538999807        8.4928434828120984        8.8967014224839218        9.1930996810950774        9.4105520248987951        6.6467935159420612        7.9226771238925444        8.2634525614578962        8.4053169062727697        8.6041739138306852        9.0509429462529951        9.1873412048641505        9.3046578934827409        5.9348443494743925        6.5699470318497184     
   74328.779222597761       0.89579299999999995        5.0182237719809564E-004   7.7484310000000001        1.6901300000000001E-002   8.1988447274388427        8.0075460936720653        8.5652951988169228        7.3978468044993448        7.9335433769302206        8.4945699631278835        8.8932979155587617        9.2535938325837002        8.0095433769302211        8.5015664038697203        8.9052951988169191        9.2015938325837006        9.4190204345059598        6.6558405284993434        7.9316838970857013        8.2722713293611001        8.4140028410501415        8.6127307934810204        9.0593155090145778        9.1956141427813556        9.3127722563926589        5.9451668139774902        6.5795173855954054     
   74004.989271199200       0.88641800000000004        5.1235505047509376E-004   7.7502225999999999        1.6866400000000000E-002   8.2074113121766246        8.0162083911995126        8.5736176181893420        7.4066019434910331        7.9422085683910240        8.5030141982851077        8.9016176181893414        9.2618200053707014        8.0182094587910235        8.5100138416808591        8.9136176181893418        9.2098201825622112        9.4272205042978214        6.6646019434910322        7.9404070367410284        8.2808118111037459        8.4224152310079816        8.6210186509122160        9.0674228914791826        9.2036252786605388        9.3206291974918969        5.9551750774876027        6.5887902567342387     
   73624.100186516822       0.87537100000000001        5.2471966271423298E-004   7.7523067000000001        1.6826000000000001E-002   8.2173935963090976        8.0262912565379025        8.5833172129735544        7.4167954824632965        7.9522937955683801        8.5128524631837053        8.9113172129735503        9.2714136698295064        8.0283030223683838        8.5198491192989465        8.9233172129735507        9.2194162088599860        9.4367760798481584        6.6747954824632956        7.9505630926158375        8.2907560063277508        8.4322207561175944        8.6306855059074437        9.0768725367041156        9.2129689935600680        9.3297961533685658        5.9668695450680964        6.5996009488309788     
   73176.056264034720       0.86237299999999995        5.3937425528818037E-004   7.7546992000000001        1.6779700000000002E-002   8.2289929989282875        8.0380085584185146        8.5945842643700736        7.4286441519129021        7.9640154152796363        8.5242822182339033        8.9225842643700766        9.2825558780492834        8.0400342120796360        8.5312762482644580        8.9345842643700770        9.2305627349104107        9.4478734836756892        6.6866441519129012        7.9623673771962693        8.3023106045546875        8.4436126506908629        8.6419146968270404        9.0878450973548972        9.2238167110341109        9.3404363627966909        5.9804838867692354        6.6121756390334809     
   72652.405795099243       0.84714699999999998        5.5723488806597740E-004   7.7574508000000000        1.6726600000000001E-002   8.2424364323983710        8.0515890092778832        8.6076398616164127        7.4423790309598417        7.9776030024418034        8.5375271979164111        8.9356398616164121        9.2954653865549410        8.0536328056418043        8.5445192928983715        8.9476398616164126        9.2434793797188632        9.4607306271344527        6.7003790309598408        7.9760506231008250        8.3157016729778803        8.4568143366778799        8.6549270003778815        9.1005561520729827        9.2363816770115115        9.3527595812910249        5.9962815516360131        6.6267586333262116     
   72045.191487673525       0.82936699999999997        5.7875974850003331E-004   7.7606489999999999        1.6665200000000002E-002   8.2580222723703880        8.0673322346217500        8.6227775018628687        7.4583011780266784        7.9933574072264246        8.5528829449654591        8.9507775018628681        9.3104336553091702        8.0694000032264253        8.5598742332677968        8.9627775018628686        9.2584588279138469        9.4756381744579361        6.7163011780266810        7.9919144846265535        8.3312267915191587        8.4721213484165663        8.6700159053139725        9.1152943279042393        9.2509504813505412        9.3670495573967170        6.0145925483225380        6.6436626801952965     
   71344.582358579399       0.80867199999999995        6.0486511169051480E-004   7.7643694999999999        1.6593900000000002E-002   8.2760901460964327        8.0855795437793425        8.6403305175928189        7.4767543208359122        8.0116215649983822        8.5706854570398683        8.9683305175928183        9.3277913703003925        8.0876790429983814        8.5776777286493875        8.9803305175928188        9.2758333915194306        9.4929258285362472        6.7347543208359113        8.0103028989171463        8.3492246043322922        8.4898696648852443        8.6875147254381950        9.1323866812438261        9.2678475339513966        9.3836270527402057        6.0357971659466934        6.6632463472168055     
   70567.706046989144       0.78544800000000004        6.3463538242649524E-004   7.7685741999999998        1.6513799999999999E-002   8.2962910707710478        8.1059763832312157        8.6599639081343796        7.4973778168124205        8.0320422442826924        8.5905924499898454        8.9879639081343754        9.3472085167484735        8.1081165410826905        8.5975882321155837        8.9999639081343759        9.2952743777999487        9.5122652873531734        6.7553778168124197        8.0308586241475552        8.3693478413757489        8.5097192995202811        8.7070907576648153        9.1515098959672727        9.2867545045813671        9.4021827333305978        6.0594642833682926        6.6851197472068016     
